Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
STE BOUSEHAB GARDIENNAGE, tous travaux de secrutie de gardiennage et nettoyage tous corps d'etat., Lilali Oufir Agl Abou Taour Et Termidi Immeuble L'est App 23,El Maarif (AR),33.58694440000001 : -7.6111111000000164, 169899,Tribunal de Casablanca, 000211217000062,Societe a Responsabilite Limitee a Associe Unique, 10 000 
CONTROLE AUTOMATION (STE DE) (SOCONTRA), la vente d'appareils d'automatique l'etude et la fabrication de nouveaux appareils d'automatisme l'importation de toutes matieres premieres..., 4 Place Marechal,Casablanca,33.595016 : -7.61879, 35947,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
AMBASSADOR CAR, location de voitures sans chauffeur, Avenue Bir Anzarane N63,Mohammedia,33.700344 : -7.388539, 1553,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 800 000 
MATERIEL AUTOMOBILE INDUSTRIEL ET AGRICOLE (MAIA)," reparation, commerce tout sur le marche interieur qu'a l'import-export de tous produits", Bd Poeymirau Vn,Fes,34.035872 : -4.997663, 2558,Tribunal de Fes,,Societe Anonyme, 100 000 
RBATI (STE DE DISTRIBUTION) (SODIRA), marchand papetier en detail (fournitures de bureau), 10 Place De Mamounia,Rabat,34.020858 : -6.838925, 26215,Tribunal de Rabat,,Societe a Responsabilite Limitee, 500 000 
PECHES DE CORAIL ET TRAVAUX SOUS-MARINS (PECORTRASM), travaux sous-marins et peches de corail, 21 Bd Bir Anzarane Maarif,Casablanca,33.57967 : -7.63639, 63705,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
SOS INCENDIE, marchand d'extincteurs d'incendie en gros, Hay Karima Ii N104,Sale,34.053457 : -6.794148, 1359,Tribunal de Sale,,Societe a Responsabilite Limitee, 200 000 
KHAYMAT CHAHRAZAD," restauration general, creperie, cafe, lotisserie, cremerie et toutes operations commerciales import export.", Avenue El Kifah Residence Assabah Imm Hajar.,Rabat,33.990887 : -6.873127, 65405,Tribunal de Rabat, 000043170000059,Societe a Responsabilite Limitee a Associe Unique, 500 000 
MAROCAIN (LE VERGER), exploitation d'un lot de colonisation, 35 Imm Aries Rue Amir Abdelkader,Rabat,33.990637 : -6.85354, 3752,Tribunal de Rabat,,Societe Anonyme, 1 000 000 
ANMAR CAR, location de vehicules automobiles sans chauffeur., Bd Prince My Abdellah Arset El Kortbi 41bis 1er Etg Appt N 9,Marrakech-Medina (AR),31.6333333 : -8, 29127,Tribunal de Marrakech,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
EXPRESS NETTOYAGE (STE), entrepreneur de nettoyage des devantures magasins appartements, Im A Ap 8 Rue Mouahidine,Rabat,34.015049 : -6.832719999999995, 43001,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
BENHADOU ET CIE (STE MARBRERIE), marbrerie, 484 Rue Omar Ben Salama,Marrakech,31.66133 : -8.00851, 6059,Tribunal de Marrakech,,Societe en Nom Collectif, 10 000 
UNITE DE CUIR ET DE PEAUX (UCP)," vente de cuir et de peaux l'import, l'export, la represent, la commission et le courtage de tous produits manufactures ou non, matieres...", Beausejour 3bis Rue Des Cyclomens,Casablanca,33.55672 : -7.667043, 49307,Tribunal de Casablanca,,Societe Anonyme, 100 000 
