Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
STE COMPTOIR DE LA BOUBONNERIEET DE LA VISSERIE (COBOVIS)," l'achat, la vente ferme ou a la commission, la fabrication et la commercialisation d'articles, objets, pieces, produits finis ou semi-finis", Boulevard Nahda Rue 3 N 14 Bis Sidi Moumen Jdid Groupe 9,Casablanca,33.5783726042 : -7.54296618845, 35491,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 2 000 000 
GROUPE GARGAA FRERES. (GROGAF)," menuiserie en bois, aluminium, import export, travaux et fournitures divers, toute activite commerciale, industrielle, agricole, maritime ou de service, et plus generalement, toutes operations commerciales, industrielles, financieres, mobilieres ou immobilieres pouvant favoriser les affaires de la s", Av De La Mecque Immdes Habous Appt 17,Laayoune,27.133789 : -13.176787, 5661,Tribunal de Laayoune,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
PIPO SHOES, fabricant de chaussures, 11bis Rue 76 Hay Laayoune Derb Espangnol,Casablanca,33.5819456032 : -7.56907673459, 61027,Tribunal de Casablanca,,Societe Anonyme, 90 000 
AFRITRID, negoce, Bd Bahmad Bel Vedere Ndeg 220,Casablanca,33.58834 : -7.59321, 115763,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
AMAZONI-BOIS," marchand bois en gros, exploitant de scierie mecanique", Bab El Guissa N51,Fes,34.033333 : -5, 16777,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000 
BENABDALLAH SERVICES (STE), representation de societes de credit et assurances, 28 Rue Oued El Makhazine,Essaouira,31.50976 : -9.767865, 309,Tribunal de Essaouira, 001841821000017,Societe a Responsabilite Limitee, 100 000 
MAROC (STE POUR LE DEVELOPPEMENT DE L'EMPLOI DES CONDUCTEURS ELECTRIQUES AU) (SODECEM)," toutes operation commerciales, l'etude l'industrie des transports d'energie electrique", 29 Rue De Louguvy,Casablanca,33.584495 : -7.621575, 22999,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
CIE DE TRANSPORT JANAH ESSALAMA (COTRAJE)," acquisition location et exploitation d'autos, agrement du matiere de transport public", 18 Rue Tetouan 1er Etage,Nador,35.17817 : -2.927355, 2237,Tribunal de Nador,,Societe a Responsabilite Limitee, 1 000 000 
L'ETOILE ELECTRIQUE DU SOUSS (SETELEC), installation electrique, Rue Karaoia Av Agadir,Inezgane (M),30.3658333 : -9.538055600000007, 511,Tribunal de Inzegane, 001459940000092,Societe a Responsabilite Limitee, 200 000 
NEW EXPORT AMZIL (STE) (SNE AMZIL), marchand exportateur, Houria Ii N624,Mohammedia,33.702852 : -7.372212, 929,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 50 000 
MAROCAINE DES BOIS CONTREPLAQUES ET PLACAGES (STE), fabrication industrie commerce general de tous bois placages et contre plaques, 61 Rue Saint Die,Casablanca,33.58694440000001 : -7.6111111000000164, 13717,Tribunal de Casablanca,,Societe Anonyme, 200 000 
AZZAAMA, promotion immob md importateur, 3 Rue Rubens Quartier Palmier,Casablanca,33.58694440000001 : -7.6111111000000164, 66467,Tribunal de Casablanca,,Societe Anonyme, 100 000 
NORRITISS, negociant - import export," 75 Bd Anfa, Angle Rue Clos De Provence, 9eme Etage, Apt B",Casablanca,33.59307 : -7.63155, 139857,Tribunal de Casablanca, 000214642000028,Societe a Responsabilite Limitee a Associe Unique, 100 000 
LEVELEC," menuiserie, exploitation et commercialisation de marbre et de granit", Imm Arsalane Bd Hassan Ii,Agadir (M),31.12001849999999 : -6.067919399999937, 2615,Tribunal de Agadir, 001870216000040,Societe Anonyme, 1 000 000 
TECHNICO TELECOM, md de machines mecanographique ( informatique )," 644, Bd Med V Bureau Ndeg 3 2eme Etage",Casablanca,33.590214 : -7.591511, 95637,Tribunal de Casablanca, 001428861000078,Societe a Responsabilite Limitee, 200 000 
MAROCAINE DE ROUTES ET BATIMENTS (STE) (SOMAROB), entrepreneur de travaux divers ou constructions, Avenue Mohamed V N489,Rabat,34.020944 : -6.837434, 29921,Tribunal de Rabat,,Societe a Responsabilite Limitee, 200 000 
UNION TECHNIQUE (STE D'EQUIPEMENT) (SEUT), marchand de materiel industriel, Lotissement La Port Rue Des Batignoles Lot 14 Belvedere,Casablanca,33.58694440000001 : -7.6111111000000164, 77923,Tribunal de Casablanca, 001428449000047,Societe a Responsabilite Limitee, 100 000 
STE LEMCIRDI ET BELARBI DU RIF, marchand effectuant importation exportation, Arrid Ii Bloc 2 Ndeg 65,Nador,35.1666667 : -2.9333332999999584, 5003,Tribunal de Nador, 000099956000019,Societe a Responsabilite Limitee, 100 000 
RECUPERATIONS ERIS, confection du pret a porter, Route Taouima N260 Rp 39,Nador,35.141832 : -2.92596, 3001,Tribunal de Nador,,Societe Anonyme, 100 000 
SOTRADELEC, entrepreneur de fourniture ou de distribution d'electricite entrepreneur de travaux divers ou de constructions, Hay Riad Rue Al Ghalsine Sect 21 H N 6,Rabat,34.015049 : -6.832719999999995, 54831,Tribunal de Rabat, 001434499000045,Societe a Responsabilite Limitee, 200 000 
MORHIL JNIANE BATIMENT (MORJNIBAT), la promotion immobiliere tous corps d'etat," 35 Lotiss, Essaada Ii, Lot Sidi Maarouf",Casablanca,33.58694440000001 : -7.6111111000000164, 138357,Tribunal de Casablanca, 000218690000051,Societe a Responsabilite Limitee, 100 000 
EURAFRIC POUR LE COMMERCE ET L'INDUSTRIE," toutes operations commerciales, industrielles ou agricoles, financieres, mobilieres et immobilieres", 25 Bd Mohammed V,Tanger-Assilah,35.470135 : -6.029685, 2363,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000 
DIGITAL INFORMATIQUE & TECHNOLOGIES," commercialisation (vente achat), recherche et developpement, formations, maintenance, toutes fournitures de bureau et industrielles, equipements et nouvelles technologies", 61 Lot Elhamd Sidi Moumen,Sidi Moumen (AR),33.588406 : -7.498113, 139561,Tribunal de Casablanca, 001877333000038,Societe a Responsabilite Limitee, 100 000 
TINGITANE (SA), toutes operations mobilieres immobilieres et financieres, Km4 Route De Rabat A Casa,Rabat,34.015049 : -6.832719999999995, 7701,Tribunal de Rabat,,Societe Anonyme, 10 000 000 
HAMIDI (STE EL), quaincaillerie importation materiel electrique sanitaire pieces detachees, 91 Route De Mediouna Kissariat Khalil N32-33,Casablanca,33.564944 : -7.595563, 47961,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
AFRICAINE DE PUBLICATIONS ECONOMIQUES (CIE) (CIAPEC)," edition d'ouvrages economiques et particulierement de revues professionnelles, periodiques", 31 Rue Du General Margueritte,Casablanca,33.59045 : -7.60928, 11555,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 300 000 
GESTION (INSTITUT DE PREPARATION A LA) (IPG), enseignement commercial, Betana Rue Dakhla N21,Sale,34.060415 : -6.793274, 25573,Tribunal de Rabat,,Societe a Responsabilite Limitee, 10 000 
SELWIKA (SELWIKA), confection de vetements, Zone Industrielle Maghmoura Rue Ndeg3 Ndeg82,Tanger-Medina (AR),35.740831554 : -5.779227072, 4799,Tribunal de Tanger,,Societe a Responsabilite Limitee, 2 000 000 
MAURICE (STATION INDEPENDANTE) (SIM), station service," Km3,500 Route De Casa",Rabat,34.015049 : -6.832719999999995, 15874,Tribunal de Rabat,,Societe a Responsabilite Limitee, 10 000 000 
ARABIA AL MAGHRIBIA INVESTEMENT CORPORATION (STE AL) (AMISCO), marchand effectuant importation et exportation, Rue Beni Mellal N5,Rabat,34.012805 : -6.830005, 29255,Tribunal de Rabat,,Societe Anonyme, 10 000 
SOCIETE GENERALE DE CONSTRUCTION ET D'ART," la societe a pour objet tant au maroc qu'a l'etranger d'effectuer la construction de tous corps d'etat, la promotion immobiliere, la realisation des lotissements des terrains, le terrassement, l'etancheite, la peinture, la plomberie, la menuiserie, l'electricite de batiment, le sanitaire, etc, et plus generalement toutes operations commerciales, financieres, mobilieres, immobilieres se rattachant directement ou indirectement a l'objet social ou a tous autres objets similaires ou connexes.", 17 Rue Langdoc Quartier Des Hopitaux,Casablanca,33.580906 : -7.615117, 158953,Tribunal de Casablanca, 000027196000095,Societe a Responsabilite Limitee, 100 000 
