Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
MEDNAB," import-export, negoce produit pharmaceutique", 100 Rue El Fourat Appt N3,Casablanca,33.58556 : -7.62084, 94869,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000 
BEN SEN MAROC," l'acquisition et la vente de toutes proprietes urbaines ou rurales et de tous droits immobiliers, plus generalement toutes operations immobilieres etc", 3 Rue De Lille,Casablanca,33.589921 : -7.600341, 4535,Tribunal de Casablanca,,Societe Anonyme, 1 250 000 
TRANEGO TRAVAUX ET NEGOCE (STE) (TRANRGO), travaux et negoce, Av Arabie Saoudit Imm Mikou 2eme Etage N9,Fes,34.041405 : -5.001075, 19543,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000 
MOBIMAR (MOBIMAR), fabricatin de meubles, 81 Av Prince Heritier,Tanger-Assilah,35.465942 : -6.030872, 3673,Tribunal de Tanger,,Societe Anonyme, 10 000 
DJ DISTRIBUTION, entrepreneur de la gestion d'exploitation commerciale (gestion delegue des services a la clientele), 2 Rue Kadi Iass Maarif 2eme Etage,Casablanca,33.585992 : -7.635093, 91511,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 450 000 
L'IMMOBILERE DES SABLES," promoteur a la construction d'immeubles, md et lotisseur de terrains, effectuant achat et vente d'immeubles ou autres speculations immobilieres"," 378, Douar El Khadir",Tassoultante,31.573311 : -8.017686, 23625,Tribunal de Marrakech, 001673302000051,Societe a Responsabilite Limitee a Associe Unique, 10 000 
JIHAD, ste immobiliere," 29, Av. Youssef Ben Tachfine, Ridence Miterran, 2e age, Appt. N7.",Tanger-Medina (AR),35.77421 : -5.80235, 7979,Tribunal de Tanger, 001557306000007,Societe Civile, 10 000 
KIMAM DE CONSTRUCTION," entrepreneur de travaux divers ou construction , md de materiaux de construction 3/ entrepreneur de transport de marchandises", N14 Janah H Complexe Urbain Massira 1,Marrakech,31.633333 : -8, 8385,Tribunal de Marrakech,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
COINTER," toutes operations commerciales, industrielles, financieres, mobilieres ou immobilieres pouvant contribuer directement ou indirectement...", 112 Rue Colbert,Casablanca,33.59292 : -7.61403, 35485,Tribunal de Casablanca,,Societe Anonyme, 15 000 
POOL POSITION (STE), exploitation salle de jeux, 10 Rue Luban Gueliz,Marrakech,31.634792 : -8.009625, 8473,Tribunal de Marrakech, 001517155000012,Societe a Responsabilite Limitee, 10 000 
ICONE COMMUNICATION (STE), tenant une agence de publicite, Rue Ibn Sina Ap 1 Imm 79,Rabat,33.992238 : -6.851368, 46051,Tribunal de Rabat,,Societe a Responsabilite Limitee, 300 000 
FADIBOIS (STE) (FADIBOIS), fabricant de meubles, Douar Cherkaoui Tribu Zenata Route De Rabat,Casablanca,33.609434 : -7.519515, 64591,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
PRODUITS ALIMENTAIRES MAROCAINS (PALMARROC), fabrication negoce des huiles conserves, Rue Salah Eddine El Ayoubi Quartier Industriel,Marrakech-Medina (AR),31.6333333 : -8, 3761,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 2 000 000 
LAAYOUNE GYPSES ET CIMENTS," l'exploitation de toutes carrieres de gypses, ciments", Place Dchena,Laayoune,27.158503 : -13.207882, 1035,Tribunal de Laayoune,,Societe Anonyme, 100 000 
MAROCAIN D'ELECTRONIQUE INDUSTRIELLE (GROUPEMENT) (GELEC), achat vente materiel electrique electronique radio electrique, Lot 36 Arraha Beausejour Casa 02,Casablanca,33.55672 : -7.667043, 34607,Tribunal de Casablanca,,Societe Anonyme, 300 000 
VILLE (BOUTIQUE DE)," marchand de meuble, entrepreneur de la decoration, negociant", 16 Rue Abou Hayane El Gharnati Maarif,Casablanca,33.5867 : -7.64163, 63843,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000 
SATEBA SYSTEME VAGNEUX (SATEBA), fabrication et fourniture de traverses en beton arme," Mita, Espace Oncf Boulevard Moulay Ismail",Casablanca,33.597892 : -7.585863, 146197,Tribunal de Casablanca, 001594436000089,Societe Anonyme, 2 329 350 
HAUTE MOULOUYA (STE AGRICOLE ET INDUSTRIELLE DE LA) (SAGRIHM), culture et exploitation de toutes proprietes agricoles traitement commerce et conditionnement des olives, 55 Avenue Drude,Casablanca,33.59355 : -7.61359, 14037,Tribunal de Casablanca,,Societe Anonyme, 10 000 000 
LOYALTY SYSTEM MANAGEMENT (CONSULTOR LTD)," ingenieur conseil, prestation de service etc..."," 11, Rue Oued Tansift 1er Etage Anfa",Casablanca,33.586156 : -7.620836, 70645,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 150 000 
