Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
TRAVAUX SAINT JEAN, entreprise de travaux divers marchand de produits alimentaires et divers imprimerie et vente de fournitures de bureau transaction et conseil, 14 Lot Chateau,Rabat,34.0206430292 : -6.82881491588, 61625,Tribunal de Rabat,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
MAROCAINE DE MANUTENTION DE CONSIGNATION ET DE POINTAGE (STE) (MANUCO), toutes operations de manutention de pointage de stevedire de ship schandler la surveillance le magasinage l'agreage le warrantage le camionnage, Bungalou Marhaba,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 3923,Tribunal de Marrakech,,Societe Anonyme, 50 000 
BOUGHAZ TRANSIT IMPORT EXPORT, consignation transit et transport, 15 Rue Iberia,Tanger-Assilah,35.7625 : -5.81186, 9981,Tribunal de Tanger,,Societe Anonyme, 10 000 
INDUSTRIELLE DE FONDERIE ET METALLURGIE (STE) (SIFOM), exploitant d'une fonderie, Route 110 Km10,Mohammedia,33.702852 : -7.372212, 505,Tribunal de Mohammedia,,Societe Anonyme, 500 000 
BOULANGERIE PATISSERIE AZZOHOUR, exploitation boulangerie patisserie vente en detail, 77 Bd Okba Bnou Nafii Hay Mohammadi,Hay Mohammadi (AR),33.58694440000001 : -7.6111111000000164, 90193,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 600 000 
NORD SHOW TOURISME," animation, creation d'evenement, organisation de manifestation relation public", Hotel Ahlen Rte De Rabat,Tanger-Assilah,35.75886 : -5.828749, 9903,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000 
MAGHREB (LES PUBLICATIONS MAROCAINES ET LES EDITIONS DU), librairie edition, Rue Georges Mercie,Casablanca,33.58694440000001 : -7.6111111000000164, 2637,Tribunal de Casablanca,,Societe Anonyme, 250 000 
STE EXTREME AVENTURE DES SERVICES TOURISTIQUES, maitre d'hotel loueur de vehicules automobiles, Ndeg16 Av Moulay Ismail Hay Riad,Arfoud (M),31.9319444 : -4.42444439999997, 2475,Tribunal de Errachidia, 001450819000076,Societe a Responsabilite Limitee, 100 000 
IMEXTOU, import-export, Village De Taghazout,Agadir-Ida Ou Tanane,30.541086 : -9.70231, 5939,Tribunal de Agadir,,Societe a Responsabilite Limitee, 15 000 
ETUDES DE TRAVAUX ET D'AMENAGEMENTS RURAUX (STE D') (SETAR), ese de travaux divers, 1 Rue Chefchaouen,Meknes,33.89548 : -5.52817, 17413,Tribunal de Meknes,,Societe Anonyme, 10 000 
BENDAHOU (BRIQUETERIE), fabrication de briques rouges a pase d'argile, 131 Bd Yacoub El Manssour,Casablanca,33.5733 : -7.64558, 42831,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
INGENIERIE GENERALE MAGHREBINE DU TECHNOLOGIE (ST'E) (SIGAM TECH), tenant bureau d'etudes, 8 Hay Al Maghrib Al Arabi Lot 3 Appt 1 Massira Ii Temara,Rabat,33.929956 : -6.91434, 27243,Tribunal de Rabat,,Societe a Responsabilite Limitee a Associe Unique, 1 500 000 
PROSPECTION INDUSTRIELLE ET AGRICOLE (PRINAG), representant de commerce, 71 Rue De Peronne Belvedere,Casablanca,33.596045 : -7.589534, 65789,Tribunal de Casablanca,,Societe Anonyme, 50 000 
KOBA METAL (STE), distribution de quincaillerie, El Haddaouia Iii Rue 33 N9,Casablanca,33.5523782108 : -7.60129040906, 91007,Tribunal de Casablanca, 000094352000007,Societe a Responsabilite Limitee, 1 000 000 
ALF ABDA ET ATLANTIC GAZ, production de l'aliment granule destine pour l'alimentation animal, Route Sebt Gzoula,Safi,32.307439 : -9.230304, 1209,Tribunal de Safi,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
BENI MELLAL (STE AGRICOLE DE)," achat, vente, exploitation ainsi que toutes activites se rattachant particulierement a l'exploitation d'une propriete mise a beni mellal", Transfert A Beni Mellal,Casablanca,33.533333 : -7.583333, 17513,Tribunal de Casablanca,,Societe Anonyme, 10 000 
CONSIMTIX AGRI, l'agriculture d'une maniere generale," 14, Secteur T Lotissement Founty Sonaba",Agadir (M),31.12001849999999 : -6.067919399999937, 3583,Tribunal de Agadir,,Societe a Responsabilite Limitee, 3 850 000 
TANGER (MARBRERIE DE), marbre, 7 Av My Abdelaziz,Tanger-Assilah,35.766963 : -5.81525, 5663,Tribunal de Tanger,,Societe Anonyme, 100 000 
RECHERCHES ET D'ETUDES MINIERES (STE DE) (PROSMINE)," recherche, etude de toutes substances utiles et plus particulierement des minerais", 52 Bd De La Resistance Francaise,Casablanca,33.58911 : -7.603885, 11307,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 2 500 000 
EST-OUEST (CONFECTION) (SOCEO), representation et la confection en general, 18 Rue Peronne Belvedere,Casablanca,33.596045 : -7.589534, 56135,Tribunal de Casablanca,,Societe Anonyme, 1 000 000 
MAROCAINE DE CONTROLE INDISTRUCTIF (STE) (SAMANOD), verification d'appareils sous pression de gaz et de vapeur, Bd Abdelmoumen,Mohammedia,33.704382 : -7.395362, 409,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 100 000 
PRESTI PHARMA," commerce et montage d'accessoires medicaux, fabrications de cosmestiques et parfumerie", 2 Rue Tissa,Rabat,34.015049 : -6.832719999999995, 25409,Tribunal de Rabat,,Societe a Responsabilite Limitee, 20 000 
TRAVAUX AGRICOLES (STE ANONYME) (SATRAG), travaux d'amenagement et de mise en valeur agricole, Piste D'ain Tekki,Mohammedia,33.702852 : -7.372212, 75,Tribunal de Mohammedia,,Societe Anonyme, 4 000 000 
MERCURY TOURISM AND TRAVEL, tenant agence de voyages, 16 Rue Omar Slaoui,Casablanca,33.58694440000001 : -7.6111111000000164, 81955,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 500 000 
CASABLANCAISE DE COMMERCE ET D'INDUSTRIE (STE) (SOCOMI), consignation commerce de tous produits matieres premieres, 38 Rue Gallieni,Casablanca,33.58694440000001 : -7.6111111000000164, 8455,Tribunal de Casablanca,,Societe Anonyme, 10 000 
HSH MEDICAL (STE)," achats, ventes et commercialisation des produits parapharmaceutiques", Bd Abdellatif Essbihi,Tiznit,29.705143 : -9.739447, 259,Tribunal de Tiznit,,Societe a Responsabilite Limitee, 100 000 
GENERAL TRADIMG (STE), import et export, 740 Charii Al Andalous Hay Essalam,Sale,34.038065 : -6.785773, 157,Tribunal de Sale,,Societe Anonyme, 10 000 
IMPRIME VOGUE, imprimeur typographe, Hay Moulay Abdallah Rue 55 N64 Ain Chock,Ain-Chock (AR),33.5357220535 : -7.59348398049, 64185,Tribunal de Casablanca, 000084514000047,Societe a Responsabilite Limitee, 100 000 
HAOUZ GAZ (STE), l'exploitation le transport la vente de gaz comprime, Route D'essaouira Route Principale 10 Km 6,Rabat,34.015049 : -6.83272, 4807,Tribunal de Marrakech,,Societe Anonyme, 10 000 
NIVALIS (NIVALIS), nettoyage disinsectisation d'infection deratisation etc, 30 Rue Sijilmassa N5 Belevedere,Casablanca,33.59404 : -7.59371, 44081,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 35 000 
MAIDAY (MAIDAY)," revente en l'etat de tous appareils de radio et cinema, electriques ou electroniques, reparation, entretien, entrepreneur de la decoration des appts..", 1 Place De L'independance Ex Mirabeau,Casablanca,33.59616 : -7.603495, 32109,Tribunal de Casablanca,,Societe Anonyme, 20 000 
MAROC SEL, marchand de sel en gros, Charii Moukaouam Quartier Industriel,Kenitra,34.26406100000001 : -6.578296000000023, 24459,Tribunal de Sidi Kacem,,Societe Anonyme, 10 000 
DAKLAND CO INTERNATIONAL (STE), import export, Bp 270,Mohammedia,33.702852 : -7.372212, 1333,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 13 000 
WAFA INTERNATIONAL (STE), import export, 16 Rue Chefchaouen,Meknes,33.89485 : -5.5382, 18011,Tribunal de Meknes,,Societe Anonyme, 200 000 
ACERO NEGOCE," marchand de metaux (tout genre d'acier, de menuiserie metalique et alluminium)", 67 Rue Aziz Bellal 1er Etage N 3 Maarif,Casablanca,33.58529 : -7.63277, 156537,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
TECHNO METAUX, travaux de plomberie climiatisation fabrication metalique import export....., 84 Bd Mohamed Smiha,Casablanca,33.5931 : -7.608775, 35467,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000 
DEMAIN SERVICE," sondage, etude de marche import export", Ksar El Bhar Ii Rue 14 N 28 Cd,Casablanca,33.5522731679 : -7.57461560503, 157455,Tribunal de Casablanca, 000094830000002,Societe a Responsabilite Limitee, 30 000 
SOCIETE ISKFAL DES CARRIERES, exploitant e carriere marchand de materiaux de construction, Km 10 Piste My Thami El Oulfa,Casablanca,33.5564236661 : -7.67990817114, 45505,Tribunal de Casablanca, 000102726000016,Societe a Responsabilite Limitee, 300 000 
SCI PHJU, administrateur de biens, 92 Bd Zerktouni Appt N5 Gueliz,Marrakech,31.637049 : -8.011815, 23463,Tribunal de Marrakech, 000200992000075,Societe Civile Immobiliere, 100 000 
PECHE INDUSTRIELLE (COMPTOIR DE) (COPIN)," achat, vente, location bateaux de peche, armement a la peche, commerce materiaux de peche, conserverie de poissons, operations s'y rattachant", 16bis Rue Tinghirt,Casablanca,33.601999 : -7.570242, 24617,Tribunal de Casablanca,,Societe Anonyme, 10 000 
MAROC (STE GENERALE FRUITIERE DU), import export agrumes fruits legumes secs et conserves, 2 Avenue Allal Ben Abdallah,Rabat,34.015049 : -6.832719999999995, 15815,Tribunal de Rabat,,Societe a Responsabilite Limitee, 50 000 
BRAVA IMPORT EXPORT, import export, Rue 67 N6 Jirari Ii Beni Makada,Tanger-Assilah,35.746434 : -5.808113, 9813,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000 
BICHET-MAROC," exploitant un atelier de reparation industrielle, fabricant de conserves alimentaires", Quartier Industriel De Sidi Brahim Avenue 801 Rue 813,Fes,34.036095 : -4.993365, 15193,Tribunal de Fes,,Societe Anonyme, 100 000 
AUTOMOBILE MAROCAINE (CENTRE)," importation, vente automobiles, acquisition, exploitation de toutes affaires de garage, toutes operations commer, indus, financi, mobili, immobi", Place Castelar,Tanger-Assilah,35.766667 : -5.8, 1535,Tribunal de Tanger,,Societe a Responsabilite Limitee, 120 000 
MODERNE DE COMPTABILITE ETUDES ET CONSEILS (CABINET) (CMCEC), ese de travaux de comptabilite, 4 Rue Des Camps Lido,Fes,34.037878 : -4.988477, 18113,Tribunal de Fes,,Societe a Responsabilite Limitee, 10 000 
MONDIAL (TOURISME), tenant une agenece de voyage, Rue Mohamed Hansali N18,Kenitra,34.25759 : -6.585785, 24931,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 100 000 
SOCIETE RELDICO," commercialisation, import-export, negoce, distribution tous produits et marchandises", Lot 302 Zone Industriel,Chichaoua,31.542785 : -8.760775, 11355,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
SOCIETE IMMOBILIERS PELM," toutes operations mobilieres, immobilieress, commerciales, industrielle, artisanales", 65 Avenue Des Far,Casablanca,33.57356 : -7.55212, 55349,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
FRANCAISE D'APPAREILLAGE ELECTRIQUE (STE) (STAE), vente d'appareils electriques et specialement agence general, 13 Rue Blaise Pascal,Casablanca,33.58694440000001 : -7.6111111000000164, 3343,Tribunal de Casablanca,,Societe Anonyme, 80 000 
SOCIETE RECENTE POUR LA FINITION DES CONSTRUCTIONS (SOREFIC), entrepreneur d'installations sanitaires, 11 Rue Al Moukaouama Angle Bd Cadi Ayad Q.i,Agadir-Ida Ou Tanane,30.415406 : -9.582458, 2187,Tribunal de Agadir,,Societe a Responsabilite Limitee, 600 000 
CONSTRUCTION ET EDIFICES INDUSTRIELS (STE DE) (SOCOEDI), entrepreneur de travaux et de batiments, 139 Bd My Youssef,Kenitra,34.26397 : -6.570675, 25247,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 200 000 
A&C GESTION, conseil de gestion," 167,boulevard Bourgogne Residence Bana",Casablanca,33.58694440000001 : -7.6111111000000164, 147047,Tribunal de Casablanca, 000027430000082,Societe a Responsabilite Limitee a Associe Unique, 1 000 000 
AJJAJ-OUAD ET COMPAGNIE, l'agriculture en generale le conditionnement la vente et l'exportation de tous produits cultives, Cmv 809 Ait Amira Commune Rurale Inchaden,Chtouka- Ait Baha,30.119513 : -9.551296, 4917,Tribunal de Agadir,,Societe en Nom Collectif, 100 000 
MANFAT IMPORT-EXPORT, import-export, 98 Kissaria Essaada Boutique N13,Sidi-Kacem,34.225687 : -5.709779, 24527,Tribunal de Sidi Kacem,,Societe a Responsabilite Limitee, 10 000 
TAZZA D'ORO, salon de the, Avenue Hassan Ii N 81 Ain Aouda,Rabat,34.020719 : -6.841776, 62933,Tribunal de Rabat,,Societe a Responsabilite Limitee a Associe Unique, 300 000 
EMILE MASSON ET CIE," distillerie, filtrerie, verification, achat et vente de raisins", Rue Trumelet Faber,Oujda-Angad,34.686527 : -1.909366, 4707,Tribunal de Oujda,,Societe a Responsabilite Limitee, 500 000 
LABORATOIRE DES SCIENCES DE L'ENVIRONNEMENT (LSE), exploitant ets traitement de l'eau, 20 Bd Rachidi,Casablanca,33.59214 : -7.62478, 66927,Tribunal de Casablanca,,Societe Anonyme, 6 000 
EZRAMEK, travaux divers et negoce," Lot Essalam, Extension Ii, Lot N 815,",Meknes (M),33.894082 : -5.544582, 24765,Tribunal de Meknes, 002132740000070,Societe a Responsabilite Limitee a Associe Unique, 10 000 
VITA (VITA)," graines de semences insecticides, engrais, fleurs naturelles, plantes et produits de pepinieres", Av De France,Oujda-Angad,34.686527 : -1.909366, 4409,Tribunal de Oujda,,Societe a Responsabilite Limitee, 8 000 000 
DUMAINE (ETS DE MIROITERIE), industrie et commerce de miroiterie fabrication de cadres faconnage et decoration, Ain Sebaa,Casablanca,33.601564 : -7.545368, 13851,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 39 000 
NEGOREVE, import et export de tout article negociable," 243 I, Lotissement Zoubir, Magasin N -lissasfa",Casablanca,33.58694440000001 : -7.6111111000000164, 139225,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 900 000 
COSMOS DIFFUSION," import d'articles publicitaire, impression serigraphique publicitaire, transaction artistique et immobiliere, export de produits imprims", 22 Rue Al Mouatamid Ibnou Al Abbad,Tanger-Assilah,35.779536 : -5.805668, 8029,Tribunal de Tanger,,Societe a Responsabilite Limitee, 30 000 
DAVID COHEN SCALI ET CIE, achat vente fabrication de chaussures bonneterie, Avenue Dar El Maghzen,Rabat,34.015049 : -6.832719999999995, 14484,Tribunal de Rabat,,Societe en Nom Collectif, 1 700 000 
STE DE MARBRE MATERIEL DE ZENATA (SMMZ)," entrepreneur de construction fabricant faience, ceramique marbrerie", 2 Allee Des Phenix Ain Sebaa,Casablanca,33.61906 : -7.53541, 45695,Tribunal de Casablanca, 001733911000095,Societe Anonyme, 150 000 
SMAXIMAROC (STE), exploitation d'un brevet concernant une fabrique de chaussures, Rue Chaflat,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 2239,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 500 000 
BAIE (STE CONSERVERIES DE LA), industrie de la conserve en general de tous produits ou denrees alimentaires ets stations peche creation toutes industrie cotieres sur litoral, Rue Chaptal,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 2013,Tribunal de Marrakech,,Societe Anonyme, 500 000 
FRESHWATER, la confection," Rte De Meknes Vers Karia Ouled Hlal Hcaine, Sala Al Jadida Bp 520, C/o Ste ""comto"" Sa",Rabat,34.015049 : -6.83272, 51153,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
DELTA GRAVETTES, exploitant de carrieres, Km 9 Route De Rabat,Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 6995,Tribunal de Tanger,,Societe a Responsabilite Limitee, 1 800 000 
MODERNE (BOULANGERIE), boulangerie, Kasba Kbira Rue 4 N279,Beni Mellal,32.340387 : -6.335473, 103,Tribunal de Beni Mellal,,Societe a Responsabilite Limitee, 7 000 
ABOUNACER PIECES AUTO SUD AGADIR (COMPTOIR) (CAPASA)," achat, vente commercialisation de pieces de rechange de vehicules commerciales et maritime generalement toutes operations commerciales et autres", N22 Rue 9 Juillet Elkhiame 1,Agadir-Ida Ou Tanane,30.416064 : -9.568036, 4529,Tribunal de Agadir,,Societe a Responsabilite Limitee, 100 000 
JEAN FONTANEL ET CIE (ETS), industrie et commerce general de tous produits particulierement textiles," Km 3,300 Route De Rabat",Casablanca,33.609434 : -7.519515, 11709,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
COSMEDIS, import export, 520 Place Sidi Mohamed (ex Pierre Semard) 3e Etage,Casablanca,33.58694440000001 : -7.6111111000000164, 92001,Tribunal de Casablanca,,Societe Anonyme, 300 000 
ALPHA HYGIENE," nettoyage desinsectisation, desinfection deratisation, jardinage, gargiennage, securite l'import, l'export de tous produits quelles que soient leur nature et leur composition notamment les produits agricoles, agroalimentaires, industriels, artisanaux et chimiques."," 17, Place Pasteur, Quartier Des Hitaux, Ridence Build Pasteur",Casablanca,33.573825 : -7.62511, 166185,Tribunal de Casablanca, 000069507000067,Societe a Responsabilite Limitee, 10 000 
SBATRA (SBATRA), entrepreneur de travaux divers ou de construction, Cite Al Wahda Imm 28 Appt N3 Hay Essalam,Sale,34.036539 : -6.80378, 735,Tribunal de Sale,,Societe a Responsabilite Limitee, 200 000 
MAROCAINE D'ETUDES DE CONSTRUCTION ET DE FORAGE (STE) (SOMECOF), bureau d'etudes et construction, Imm Sitamar Rue De 9 Juillets,Agadir-Ida Ou Tanane,30.416064 : -9.568036, 579,Tribunal de Agadir,,Societe a Responsabilite Limitee, 180 000 
NABIL (TRAITEUR)," loueur d'outils ou ustensiles, traiteur", 70 Bloc Db El Kouass Cym,Rabat,33.995294 : -6.866454, 45339,Tribunal de Rabat, 001708324000013,Societe a Responsabilite Limitee, 200 000 
BATI-GALAXIE (BATI-GALAXIE), entrepreneur de travaux divers entrepreneur travaux de constructions, 35 Bd De Bourgogne,Casablanca,33.59849 : -7.63973, 74873,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 60 000 
SACHERIE NOUVELLE (STE LA)," commerce sous toutes ses formes et la location de tous produits du jute et de ses derives, bruts ou marchandises, sacs, toiles, baches, cordage.import", 34 Boulevard De La Gare,Casablanca,33.61282 : -7.53233, 2981,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 210 000 
FOURNITURES INDUSTRIELLES ET MACHINES OUTILS, achat vente et import export de toutes fournitures industrielles et machines outils, 1 Quartier Badr,Fes,34.022367 : -5.021057, 25299,Tribunal de Fes,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
MULTIRENT ELECT," entrepreneur de travaux de construction (tout corps d'etat). *traiteur et organisation des fetes et celebrations (fetes nationales, religieuses, privees. . . ). * achat & vente de tous materiaux de construction (plomberie, electricite, sanitaire. . . )", Rue Bir Anzarane Ndeg20,Echemmaia (M),32.310059 : -9.236617000000024, 263,Tribunal de Youssoufia,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
FEDALIENNE DE L'EQUIPEMENT ET DE CONSTRUCTION (LA) (FEDED), fabrication conditionnement commercialisation de toutes matieres ou produits alimentaires, Bd My Youssef Imm Essalhi,Mohammedia,33.701795 : -7.38728, 1077,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 100 000 
AMINE INDUSTRIES, import-export, Rue Lot Vita N14 Km 5500 Route De Casa,Rabat,34.015049 : -6.83272, 41177,Tribunal de Rabat,,Societe Anonyme, 100 000 
NORD-AFRICAINE DE COMMERCE POUR LE MAROC (STE) (SONACO)," vente en gros denrees alimentaires et tous produits, negoce sous toutes ses formes des dits produits, achat-vente, consignation, transit...", 84 Bd De La Resistance Francaise,Casablanca,33.58694440000001 : -7.6111111000000164, 5753,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000 
MARRAKECH CONGRESS INCENTIVE AND TOURS (M C I TOURS), agence de voyage, 154 Bd Mohamed V Imm N9 Gueliz,Gueliz (AR),31.635401 : -8.013476, 8359,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
AIGLE COMPAGNIE D'ASSURANCES ET DE REASSURANCES (L'), assurance contre les accidents et tous risques, 5 Rue Miramar,Rabat,33.992435 : -6.849535, 1940,Tribunal de Rabat,,Societe Anonyme, 49 500 
DURANDE ET LAMBERT (STE)," commission, representation tous produits, holding", 24-28 Bd De Bordeaux,Casablanca,33.58694440000001 : -7.6111111000000164, 13985,Tribunal de Casablanca,,Societe Anonyme, 830 000 
CASHCAT IMPORT EXPORT, tous travaux divers et construction achat vente production et commercialisation des materiels de construction soumission au marches publics et prives adjudicataire, Lotissement Igendis N 105 Bis,Youssoufia (M),32.310059 : -9.236617000000024, 89,Tribunal de Youssoufia, 001455880000005,Societe a Responsabilite Limitee a Associe Unique, 200 000 
ZEPHYR (ZYPHYR), md de vetements veudant engros, Route 109 Douar Ouled Benamar,Bouskoura,33.4791267405 : -7.64512874274, 42045,Tribunal de Casablanca, 001834879000047,Societe a Responsabilite Limitee, 1 000 000 
ALU SOUSS, tous travaux de menuiserie metallique, Avenue El Mouquaouama Qi,Agadir-Ida Ou Tanane,30.420557 : -9.575373, 245,Tribunal de Agadir,,Societe Anonyme, 10 000 
APPLICATIONS MENAGERES ET AGRICOLES DE LA CHIMIE INDUSTRIELLE (AMAC), entretien hygienic traitement des etres vivants amelioration des cultures, 152 Bd Ney,Casablanca,33.589948 : -7.597135, 20067,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000 
MARTRADE (MARTRADE), marchand effectuant import-export, Bd Mohamed V N625,Casablanca,33.590214 : -7.591511, 80045,Tribunal de Casablanca, 001428419000081,Societe a Responsabilite Limitee, 100 000 
IMMOBILIER MERCURIAL, toutes operation immobiliere, 112 Av Mohamed V Gueliz,Marrakech,31.635401 : -8.013476, 18393,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
ASSAS (STE DE PROMOTION IMMOBILIERE AL), promoteur a la construction d'immeubles, 30 Ankara Ap N9 Ocean,Rabat,34.02499 : -6.84844, 43315,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
D. 2000 (STE) (D. 2000), produits alimentaires et vente en detail, Sebai 3 Imm 721 C,Marrakech,31.633333 : -8, 7525,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 30 000 
NOUVELLE D'EXPLOITATION DE CONSERVERIE (STE) (SNEC), exploitation de l'usine de conserves de poissons industrie en general des produits alimentaires etc, Route Du Djorf El Youdi Rue L Propriete Chancerelle,Safi,32.286873 : -9.246562, 2741,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 500 000 
VIENA (CLUB), ecole et salon de coiffure, Rue Moatamid Ben Abbad Immeuble Tissir 1e Etage,Tanger-Assilah,35.779536 : -5.805668, 10103,Tribunal de Tanger,,Societe Anonyme, 100 000 
