Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
FARDEL ET LEARTIN (TRANSPORTS), transports de marchandises, 18 Rue De Taza,Meknes,33.895 : -5.554722200000015, 6097,Tribunal de Fes,,Societe a Responsabilite Limitee, 600 000 
MAROCAIN D'EXPORTATION ET IMPORTATION (STE CAB) (CAMEXI), marchand effectuant importation et exportation, Rue Laghouate N7,Rabat,33.981472 : -6.865254, 28147,Tribunal de Rabat,,Societe Anonyme, 10 000 
CENTRE D'ENSEIGNEMENT DES TECHNIQUES DE SANTE PRIVE (CETEC)," toutes operations industrielles, commericales, financieres, mobilieres et immobilieres"," 38, Rue Abdelkader Mouftakar Ex Clemence, 2deget.",Casablanca,33.593122 : -7.615238, 33349,Tribunal de Casablanca, 001855739000009,Societe a Responsabilite Limitee a Associe Unique, 10 000 
PUY DE DOME (STE CIVILE)," fructifier les placements mobiliers ou immobiliers, acquisition ou vente tous immeubles ou terrains, toutes valeurs mobilieres ou immobilieres..", 3 Rue Dante,Tanger-Assilah,35.77994 : -5.80553, 489,Tribunal de Tanger,,Autre Forme Juridique, 5 000 
DANA AGRICOLE, entrepreneur de gestion des exploitations agricoles, 117 Cite Najah Imm Haddaoui,Agadir (M),31.12001849999999 : -6.067919399999937, 12037,Tribunal de Agadir,,Societe a Responsabilite Limitee, 10 000 
MAROC (AGRU FRUITS)," fruits et primeurs, commerce en gros, demi-gros et detail de tous articles locaux", Rue Blaise Pascal N77,Casablanca,33.58904 : -7.61859, 26805,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
GESTION ET DE PROMOTION TOURISTIQUE (STE DE) (SOGEPROT), exploitation et gestion du camping caravaning tingis, 24 Rue Lafayette,Tanger-Assilah,35.7666667 : -5.7999999999999545, 2455,Tribunal de Tanger,,Societe a Responsabilite Limitee, 70 000 
AMRI (ETS)," le commerce en general, la fabrication de tous produits en plastique quelle que soit leur nature, l'injection, l'extrusion, la transformation.", 261 Zankat Du 2 Mars,Casablanca,33.55857 : -7.60745, 30161,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 60 000 
TRANSERMAR, transport routier de marchandises, 148 Bd Bahmad Belueder,Casablanca,33.59157 : -7.58987, 148799,Tribunal de Casablanca, 000035274000045,Societe a Responsabilite Limitee, 100 000 
SOUSS (COMPTOIR COMMERCIAL DU) (CCS), exploitant d'un etablissement de quincaillerie et droguerie industrielle ainsi que toutes activites s'y rattachant, 33 Rue Oued Ziz Quartier Industriel,Agadir-Ida Ou Tanane,31.12001849999999 : -6.067919399999937, 79,Tribunal de Agadir,,Societe a Responsabilite Limitee, 110 000 
STE TURMA, marchand import export, 15 Rue Pasquier France Ville,Casablanca,33.56865 : -7.62801, 99951,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 500 000 
FLAMBEAU (STE LE), exploitation d'usine d'imprimerie impression edition vente de toute production de papeterie librairie articles de bureau machines a ecrire..., 9 Rue Normand,Rabat,33.999333 : -6.844248, 18361,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
OUSSAMA (STE DE FABRICATION ET DISTRIBUTION DU MATERIAUX DE CONSTRUCTION) (SOFADIMACO), vente et fabrication de matiriaux de construction, 146-147hay Al Manzeh Feddan Ben Saad Bit Ghoulum,Taza,34.221061 : -4.010664, 85,Tribunal de Taza,,Societe Anonyme, 20 000 
AIT LARBI IMPORT-EXPORT, import-export de plusieurs produits et marchandises, 43bis Rue Souss,El-Jadida,33.254075 : -8.515075, 877,Tribunal de Eljadida,,Societe a Responsabilite Limitee, 80 000 
DIAR AL YUSR, acheter et vendre tous biens immeubles ou immbueles appartenant ou pouvant appartenir a la ste acquerir ou aliener tous fonds de commerce..., 151-153 Bd My Driss 1er,Casablanca,33.58694440000001 : -7.6111111000000164, 92047,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000 
P. PARRENIN (STE DES ETABLISSEMENTS), vente de machines agricoles, Route De Mediouna Angle Bd. Circulaire,Casablanca,33.564944 : -7.595563, 969,Tribunal de Casablanca,,Societe Anonyme, 3 800 000 
PSP CONSTRUCT, promotion immobiliere tous travaux de construction et d'amenagement, Cite Wafaa Imm 75 Appt 02 Rdc,Mohammedia (M),33.6833333 : -7.383333300000004, 6597,Tribunal de Mohammedia,,Societe a Responsabilite Limitee, 10 000 
MAROCAINE DE PROMOTION METALURGIQUE (STE), l'industrie et le commerce des produits metallurgiques, 93 Rue De La Garonne,Casablanca,33.581675 : -7.594165, 33873,Tribunal de Casablanca,,Societe Anonyme, 10 000 
TEXACO-MAROC (STE), importation et vente d'hydrocarbures, Rue Djillali Ghafiri,Casablanca,33.60061 : -7.5494, 2879,Tribunal de Casablanca,,Societe Anonyme, 13 000 000 
SAHRAOUI DE PECHE CASAPECHE (CIE), industrie de la peche maritime, 35 Avenue Du Prince Moulay Abdellah,Tanger-Assilah,35.778512 : -5.809727, 2651,Tribunal de Tanger,,Societe Anonyme, 10 000 
BOURGOGNE ZINI ET CIE (CAVES DE), commerce en gros demi gros et detail de tous produits alimentaires quelle qu'en soit l'origine et plus particulierement les vins bieres etc, 7 Rue El Mamora,Kenitra,34.26003 : -6.58355, 18942,Tribunal de Rabat,,Societe en Nom Collectif, 50 000 
KNOPFUN (STE), fabricant de mercerie marchand importateur, Km 9 Route D'el Jadida -zi-,Casablanca,33.532301 : -7.6734, 93021,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 500 000 
AGENCE NAVAL DE DISTRIBUTION (ANADIS), vente de toutes les pieces detachees pour les armateurs, Cite Taddart N8,Agadir-Ida Ou Tanane,30.427755 : -9.598107, 3205,Tribunal de Agadir,,Societe a Responsabilite Limitee, 10 000 
CUISINOR (STE) (CUISINOR), chauffage eclairage sanitaire, 204ex Bd Mohamed V,Casablanca,33.593485 : -7.603666, 3197,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 400 000 
PLANTATIONS DE TRAVAUX ET AMENAGEMENTS DIVERS (STE DE) (SOPLAT), entrepreneur de travaux divers, 9 Rue Ksar Essouk Ap N6 3e Etage,Rabat,34.02255 : -6.82572, 28053,Tribunal de Rabat,,Societe a Responsabilite Limitee, 1 000 000 
NORD-AFRICAINE (STE IMMOBILIERE) (SINA), acquisition de tous terrains et immeubles construction de tous batiments a usage commercial ou industriel, 38 Rue Gallieni,Casablanca,33.58694440000001 : -7.6111111000000164, 16299,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 2 000 
EXTRA LOCATION (EXTRA LOC), loueur de vehicules autocars, Rue Normandie Imm 68 4e Etage Appt 9,Casablanca,33.58404 : -7.63989, 44537,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000 
BELMA (STE D'EXPLOITATION DU CAFE), creation et exploitation du cafe belma, 240 Route De Mazagan,Casablanca,33.533333 : -7.583333, 23589,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 2 000 
EST MAROCAIN (STE TRICOTAGE CONFECTION DE L'), exploitant un etablissement industrielle pour fabrication de vetements confectionnes, Rue De Tairet Lot Alj N93,Oujda-Angad,34.665661 : -1.890045, 14395,Tribunal de Oujda,,Societe a Responsabilite Limitee, 240 192 
EMPRESA COHEN, exploitation d'une salle de cinema, Luneta N40,Tetouan,35.572464 : -5.375723, 580,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 127 600 
POPULAIRE (ATELIER), renovation de tous moteurs et travaux de construction mecanique, 4 Rue El Qods,Oujda-Angad,34.674966 : -1.909381, 13707,Tribunal de Oujda,,Societe Anonyme, 10 000 
PRICE WELL CONSULTING (PRC), travaux de comptabilite + conseil juridique, 57 Rue Omar Slaoui 2deget. Mers Sultan,Mers-Sultan (AR),33.58699 : -7.6203, 95953,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
ACTIONS AGRO-ALIMENTAIRES (STE), fabrication de conserves, Route De Safi Quartier Industriel N329,Marrakech,31.66922 : -8.039231, 6095,Tribunal de Marrakech,,Societe Anonyme, 400 000 
MOINIER (STE FONCIERE D'EXPLOITATION), acquisition et exploitation d'un ou plusieurs immeubles, 23 Rue Vedrines,Casablanca,33.59292 : -7.61403, 18469,Tribunal de Casablanca,,Societe Anonyme, 280 000 
MAISON SPECIALISEE AEROPHOTOGRAMMETRIE," photographie, topographie, photogrammetrie, travaux de reprises aerophotographiques, recherches ds le domaine agricole, forestier, pedologique", 71 Rue Allal Ben Abdellah,Casablanca,33.59554 : -7.61425, 29231,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 990 000 
DAHCHOUR (STE), import export de produits phyto sanitaires et matariel agricoles," Complexe Urbgain Massira 1er Immeuble A, Appartement 3",Marrakech,31.620526 : -8.057657, 10623,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
ORIENTARAMA," confection d'ameublement travaux de menuiserie, ebenisterie l'exportation de salons marocains confectionnes ; de coussins cousus ; de facades en bois.... etc l'importation du bois, tissus et autres l'exportation de tous produits de confection, produits artisanaux fabriques en bois, metal tissus et d'autres travail du bois sur toutes ses formes, sculpture de bois, moucharabie, arabesques, marbres, polysters et en general, toute participation ou toute operation commerciale, industrielle financiere, publicitaire mobiliere ou immobiliere d'assistance, de conseils de formation, d'exploitation, d'acquisition ou de creation, de gestion d'unite de ventes de reseau de distribution et toutes activites se rattachant directement ou indirectement au dit objet ou susceptibles d'en favoriser le developpement par voie de creation de societe ou d'etablissement, de souscription, de fusion, d'absorption, ainsi que toute participation directe ou indirecte sous quelque forme que ce soit, dans les entreprises poursuivants des but similaires ou connexes.", 15 Bloc 6 Massira Ii Vn,Taza (M),34.2238889 : -4.0066666999999825, 1249,Tribunal de Taza,,Societe a Responsabilite Limitee, 20 000 
BONNETERIE NORD AFRICAINE (BNA)," fabrication de tous articles de bonneterie exploitation sous toutes formes de tous ateliers de filature,tissage et tricotage mecanique", Rue Moujahid Chengute Ndeg3 Belvedere,Casablanca,33.533333 : -7.583333, 30641,Tribunal de Casablanca, 001611883000052,Societe Anonyme, 3 000 000 
CARHO STE IMMOBILIERE," achat, gestion de biens immobiliers", 103-105 Bd Mohamed V,Casablanca,33.58694440000001 : -7.6111111000000164, 21053,Tribunal de Casablanca,,Societe Anonyme, 62 500 
GLACE BENSAID," la societe a pour objet tant au maroc qu'a l'etranger pour son compte ou pour le compte des tiers : fabricant de glace (ecaille et mouleaux). negoce general promotion immobiliere. import export. et plus generalement, toutes operations financieres, commerciales, industrielles pouvant se rattacher directement ou indirectement a ces objets ainsi qu'a tous autres objets similaires ou connexes"," 35,angle Rue Moulay Abdellah Et Reine Elisabeth",Kenitra,34.258674 : -6.581391, 47665,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 200 000 
LIGHT TRANSIT, transitaire, Rue Mohamed Sedki Bourgogne,Casablanca,33.592056 : -7.632992, 74137,Tribunal de Casablanca,,Societe Anonyme, 100 000 
MAROCAINE DE MENUISERIE ET D'EBEINESTERIE (STE) (SOMAM),, 232 Rue De Sidi Ouassel,Safi,32.309897 : -9.232274, 43,Tribunal de Safi,,Societe a Responsabilite Limitee, 40 000 
TEAM KM," * toutes activites de transport national et international, par tous moyens, pour son propre compte ou pour le compte de tiers, ou faites par des societes tierces pour son compte, * toutes activites de commission en transport et de transit, * tous travaux annexes ou connexes aux activites sus-mentionnees, notamment la consignation, la manutention et la traction, * le courtage. le negoce international sous toutes ses formes et la promotion des ventes tant pour son compte que pour le compte des tiers de tous produits et articles a l'etat bruts manufacture ou servi-manufacture * la creation l'acquisition, l'apport, l'echange, la location. la transformation l'exploitation. et la mise en valeur de tous fonds de commerce, brevets, marques, licences et procedes ayant pour objet l'exercice et la promotion des activites ci-dessus definies. * la participation directe ou indirecte de la societe dans toutes operations se rattachant a la dite activite. notamment par voie de creation de societe nouve"," 353, Angle Bd Mohamed V Et Bd La Resistance",Casablanca,33.590214 : -7.591511, 168399,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 120 000 
CONFECTION FABUL, fabricant de vetements confectionnes import export, 19 Zankat Achcharif El Idrissi,Casablanca,33.583 : -7.64262, 44971,Tribunal de Casablanca, 001514338000023,Societe a Responsabilite Limitee, 3 000 000 
EXPLOITATION AGRICOLE DE ALLAL TAZI," achat, vente ou exploitation de toute propriete agricole", Rue Du Colonel Froment Oukacha,Casablanca,33.601564 : -7.545368, 25913,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
GROUPE ELECTRIQUE SAAD, entrepreneur des installations electriques, 25 Rue General Eboue,Casablanca,33.601497 : -7.636692, 65347,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
SORDAM (SORDAM), representant de commerce, Rue Mers Sultan N157,Casablanca,33.585525 : -7.61637, 83109,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 30 000 
RD. READ. INTERNATIONAL, conseil et promotion immobiliere, 273 Bd Mohammed V,Casablanca,33.58694440000001 : -7.6111111000000164, 146047,Tribunal de Casablanca, 001510148000051,Societe a Responsabilite Limitee, 100 000 
BERRAK ET CIE (STE INDUSTRIELLE DES ARTS RUSTIQUES ET MODERNES DE LA MENUISERIE) (SIAMM), entrepreneur de menuiserie marchand importateur exportateur, Hay Sidi Abbad I N330bis,Marrakech,31.63231 : -8.009374, 7979,Tribunal de Marrakech,,Societe en Nom Collectif, 100 000 
CASA MAGHREB (CONSTRUCTION) (CONCAMA)," etude, realisation de tous travaux publics et particuliers, construction, achat, vente, location, lotissement de tous immeubles, amenagement...", 61 Bd Abdelmoumen,Casablanca,33.58012 : -7.6249, 31927,Tribunal de Casablanca,,Societe Anonyme, 250 000 
FOCAL (STE) (FOCAL), tenant un bureau d'etudes, 22 Rue Planquette 4eme Etage Belvedere,Casablanca,33.593645 : -7.590025, 69825,Tribunal de Casablanca, 001428441000069,Societe a Responsabilite Limitee, 100 000 
B B ICE, transformation de glaces - fabrication et distribution de gateaux glaces - restauration, Imm Bouchra Lotissement Al Mawlid Lot N 24 Angle Impasse Et Rue Ibnou Katir,Casablanca,33.575642 : -7.646308, 139573,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
TELEBOUTIQUE ZAITOUNE, concessionnaire de services telephoniques (cyber cafe et teleboutique), Ndeg 77 Lotissement Zaitoune 4 Amerchich Hay Mohammadi,Marrakech,31.63231 : -8.009374, 20433,Tribunal de Marrakech, 001849704000091,Societe en Nom Collectif, 100 000 
MESK VOYAGES, guide pour voyageurs et touristes, Complexe Romandie Ii Bd Bir Anzarane,Casablanca,33.58694440000001 : -7.6111111000000164, 95827,Tribunal de Casablanca,,Societe Anonyme, 500 000 
GROUPEMENT POUR L'INVESTISSEMENT ET LE DEVELOPPEMENT (GID), entreprise se livrant pour son compte ou placement ou a la gestion de valeurs mobilieres, Rue Oued Fes Agdal N23 Appt 7,Agdal Riyad (AR),34.015049 : -6.832719999999995, 30559,Tribunal de Rabat,,Societe Anonyme, 15 000 000 
HABITAT ET DE L'INDUSTRIE(GENERALE ENTREPRISE DE TECHNIQUE DE L') (GETHI), construction de batiment et peintures, Derb Jamila Bloc C N1309,Casablanca,33.5730119187 : -7.68349902742, 57829,Tribunal de Casablanca, 001738023000039,Societe a Responsabilite Limitee, 10 000 
LIVORNO," ttes operations commerciales, industrielles,financieres,mobilieres, immobilieres ainsi que ttes celles sucepibles de favoriser son developpement", 16 Rue Murillo,Tanger-Assilah,35.780524 : -5.811708, 249,Tribunal de Tanger,,Societe Anonyme, 1 000 
MAKRI (MAKRI), import-export, Route De Tanger Km 3 Tetouan,Tetouan,35.572464 : -5.375723, 2041,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 100 000 
NETTOYAGE ARMEMENT DES NAVIRES ET GARDIENNAGE IMPORT EXPORT (NAVIGAN), approvisionneur de navires, 228 Bd Rahal El Meskini,Casablanca,33.587805 : -7.61349, 50157,Tribunal de Casablanca,,Societe Anonyme, 100 000 
CHARI MACHRAA DECOR (CHMADE), peinture et decoration general et travaux divers, Derb El Jadid Bab Doukkala N98,Marrakech,31.626095 : -7.975808, 9359,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 20 000 
MIER ABERGEL (ETS), la negociation de gereales et tous produits, 256 Bd Avenue Mohamed V,El-Jadida,33.254174 : -8.508038, 133,Tribunal de Eljadida,,Societe a Responsabilite Limitee, 3 240 000 
STATION MODERNE DU PNEU," marchand de pneumatiques en gros, import export", 107 Bd Ifini,Casablanca,33.584515 : -7.597756, 40589,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 000 
ELORET FRERES (STE MAROCAINE DE COMMERCE ET D'EXPORTATION DE BESTIAUX), commerce et exportation de bestiaux, Boulevard Du 4e Zouares N26,Casablanca,33.59797 : -7.61572, 2373,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 26 100 
SOUSS (REPARATION TECHNIQUE INDUSTRIELLE NAVALE DU), reparation technique industrielle navale, 17bis Rue Soulimane Roudani Les Amicales,Agadir-Ida Ou Tanane,30.429265 : -9.579685, 5145,Tribunal de Agadir,,Societe a Responsabilite Limitee, 100 000 
SOCIETE HOTELIERE DE MEKNES (SOHOM)," exploitation d'hotel, bar, clubs prives.", 26 Avenue Hassan Ii.,Meknes (M),33.895 : -5.554722200000015, 17515,Tribunal de Meknes, 001903945000090,Societe a Responsabilite Limitee, 340 000 
UNIVERSITAIRE (COOPERATIVE D'HABITATION), cooperative d'habitation, Ecole Gabriel Roch,Casablanca,33.592525 : -7.58308, 22211,Tribunal de Casablanca,,Societe Anonyme, 189 120 000 
MINLIA, financement de biens d'equipements et d'investissement l'etude et la realisation de placement ou investissement la gestion du portefeuille etc, N123 Avenue Hassan Ii,Casablanca,33.58694440000001 : -7.6111111000000164, 70873,Tribunal de Casablanca,,Societe Anonyme, 100 000 
ABIDINE TRAVAUX ET NEGOCE," importation, distribution, vente et commercialisation de tous les produits de beaute - importation et commercialisation de tous materiels lies a l'electronique, electromenager et informatique, achat, vente, import export et commercialisation de tout article de decoration, articles electromenager, ameublement, article menager, mobilier, materiel et fourniture de bureau, import export, -toute activite de construction, travaux de terrassements generaux, assainissement, voiries, reseaux divers, routes, adductions d'eau, electricite, telephone, travaux de peinture; -travaux de menuiserie de bois et aluminium ; -travaux de revetement et travaux de signalisation routiere; -achat, vente et commercialisation de tous materiaux de construction ; -equipement electrique, hydraulique et mecanique", Av Mekka Station Colomina,Laayoune,27.133789 : -13.176787, 5649,Tribunal de Laayoune,,Societe a Responsabilite Limitee a Associe Unique, 10 000 
IBH POUR L'HOTELLERIE ET LE TOURISME, maitre d'hotel de grand tourisme., 9 Rue Sidi Belyout,Casablanca,33.58694440000001 : -7.6111111000000164, 65353,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 150 000 
FRANCAISE DE REPRESENTATION ET D'IMPRESSIONS PUBLICITAIRES (AGENCE) (AFRIP)," toutes operations publicitaires et d'editions industrie, commerce en general, representation, commission, consignation, courtage tous produits", 81 Rue Colbert,Casablanca,33.59355 : -7.61359, 8049,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 500 
KHEMISSET TELEPHONE, concessionnaire telephonique, 228 Bd Mohamed V,Khemisset,33.820387 : -6.058011, 24125,Tribunal de Khemisset,,Societe a Responsabilite Limitee, 2 500 000 
WORDEX (STE) (WORDEX), promoteur a la construction d'immeuble, Chez A Saaidi Et Associes 4 Place Marechal,Casablanca,33.595016 : -7.61879, 52733,Tribunal de Casablanca,,Societe Anonyme, 10 000 
MODERNE (LE MATELAS)," fabrication de matelas, tapisserie et ebenisterie", 28 Rue De Luneville,Casablanca,33.58694440000001 : -7.6111111000000164, 26909,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 500 
COMPAGNIE INDUSTRIELLE DE TRAVAUX DU MAROC (CITRAM), etude entreprise execution de tous tp et particuliers de constructions metallurgiques mecaniques metalliques et electriques de tous batiments..., Maarif- 332 Boulevard Brahim Roudani Ndeg 12,El Maarif (AR),33.57925 : -7.636145, 32489,Tribunal de Casablanca, 001553369000091,Societe a Responsabilite Limitee, 300 000 
VILLETTE ET CIE (STE)," importation, transport, entreporage et vente de viandes congelees ou refigeries et autres", Abattoirs Municipaux,Casablanca,33.591606 : -7.585802, 325,Tribunal de Casablanca,,Societe Anonyme, 36 871 300 
PRO BAFES (PRO BAFES), entrepreneur de travaux divers et constructions, Km 5 Route De Meknes,Fes,34.027638 : -5.027891, 16569,Tribunal de Fes,,Societe a Responsabilite Limitee, 500 000 
TITAN (PATES), commerce de fabrique de pates alimentaires, 20 Avenue Jean Jaures,Casablanca,33.589202 : -7.626679, 5751,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 500 000 
DISTRIBUTION APPAREILS DE CONTROLE ET DE PRECISION (STE DE) (SACAP), bureau de distribution appareils de controle et de precision, 84bis Route De Mazagan,Casablanca,33.58694440000001 : -7.6111111000000164, 24517,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 15 000 
FRANCE (STE CHAUSSURES), fabrication et vente de tous produits en crin ou plastique et notamment chaussures maroquinerie ecritures, 4 Rue Du Docteur Manchamp,Casablanca,33.596457 : -7.615478, 14407,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 600 000 
HOUSE SECURITE, fabricant de vetements confectionnes, Immeuble El Ghilani Boulevard Chahid Bouchraya 6c,Laayoune,27.158503 : -13.207882, 3293,Tribunal de Laayoune,,Societe a Responsabilite Limitee, 300 000 
SOPROGAM," fabrication de glaces industrielles et la commercialisation de celle-ci, creation, installation et l'expoloitation d'entrepots frigorifiques...", 262 Avenue El Massira,Nador,35.17261 : -2.92864, 1487,Tribunal de Nador,,Societe Anonyme, 100 000 
N/A
