Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
IMPRETEX (IMPRETEX), impression en etoffes, 49 Hay Taiba Bd De La Grande Ceinture,Casablanca,33.56248 : -7.60737, 56795,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
INTER ALGUES (STE) (IA)," import-export, collecte et traitement d'algues marines", 89 Avenue My Abdelhafid,El-Jadida,33.262815 : -8.50921, 1955,Tribunal de Eljadida, 000068962000038,Societe a Responsabilite Limitee, 100 000 
ENTREPRISE AIT MOUMEN DE TRAVAUX (ENATRAM), e/se construction&tvx divers ou entretien des voies de comm canalisation d'eaux&egouts loueur mats ou machines & outilles reali tvx & ouvrages routier, 234 2eme Etage Hay Mohammadi,Ouarzazate,30.91987 : -6.8935390000000325, 221,Tribunal de Ouarzazate, 001678456000088,Societe a Responsabilite Limitee, 4 420 000 
YASMINE DE NETTOYAGE (STE)," entretien et hygiene des locaux publics, semi-publics et prives, toutes operations commerciales, industrielles...", N543 Hay Adarissa Route Ain Chkef,Fes,34.036095 : -4.993365, 19529,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000 
CASABLANCA IMPORT EXPORT, representation achat vente de tous produits import export, 7 Rue Mezerguen,Casablanca,33.592375 : -7.61304, 30789,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
STE MAROC FONTE (MAROCFONTE), la transformation mecanique chimique ou par fusion de tous les alliages ferreux ou non ferreux et des produits derives," Bd Okba Ben Nafia Hay Bornazil Km 6,700",Casablanca,33.58694440000001 : -7.6111111000000164, 38587,Tribunal de Casablanca,,Societe Anonyme, 500 000 
JAOUAHIR EL MOSTAKBAL (EL)," industrie de la minoterie, semoulerie, fabrique de pates alimentaires, biscuiterie et en general les cereales, achat-vente, edification", Lot Ben Hamou Rue Bennabar Route De Meknes,Fes,34.027638 : -5.027891, 16103,Tribunal de Fes,,Societe Anonyme, 100 000 
LES YEUX D'EST, location des parc pour gardiennage et des souk, N42 Bis Rue 5 Lot Lamrania Zitoune,Meknes,33.868532 : -5.550151, 24587,Tribunal de Meknes, 001450726000065,Societe a Responsabilite Limitee, 100 000 
BOUMAL DE PEINTURE ET DIVERS (STE) (SOBOPED), entrepreneur de travaux divers ou constructions entrepreneur de peinture en batiment, Groupe El Majd N985 Nahda 2,Rabat,34.015049 : -6.832719999999995, 43023,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
ATLAS TANGER, distribution de carburants liquides et gaz lequefies, 1 Rue Giblatar,Tanger-Medina (AR),35.7666667 : -5.7999999999999545, 1097,Tribunal de Tanger,,Societe Anonyme, 1 000 000 
STE SOGEO, bureau d'etudes de recherches et de prospection importation de materiel de foration de forage et de tp industriel, 15 Imm 625 Bd Mohamed V,Casablanca,33.590214 : -7.591511, 93051,Tribunal de Casablanca, 000035157000003,Societe a Responsabilite Limitee, 600 000 
