Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
MAROC AZOTE," fabrication et raffinage des produits et sous produits du poissons par tous procedes , la distillation des memes produits", Route Du Djorf El Youdi,Safi,32.286873 : -9.246562, 3137,Tribunal de Marrakech,,Societe Anonyme, 100 000 
COOPERATIVE CHARBONNIERE D'AMIZMIZ, achat et vente de charbon etc, Amizmiz Centre,Al Haouz,31.216848 : -8.233138, 559,Tribunal de Marrakech,,Autre Forme Juridique, 10 000 
JUDO JIERE JITSEE (STE MAROCAINE DE), ecole de judo jiere jitsee, 3 Rue 18 Juin,Rabat,33.9666807786 : -6.83499380831, 11857,Tribunal de Rabat,,Societe a Responsabilite Limitee, 2 000 000 
FIBERTEX (FIBERTEX), fabrication de fibres textiles artificielles et sythetiques, Km17.200 R S N111 Ain Harrouda,Mohammedia,33.635666 : -7.448419, 417,Tribunal de Mohammedia,,Societe Anonyme, 10 000 
AILES BLANCHES (LES)," acquisition de toutes proprietes baties ou non baties, construction de tous immeubles", 13 Rue Buffon,Casablanca,33.58769 : -7.62989, 20771,Tribunal de Casablanca,,Societe Anonyme, 10 000 
SHEPARD EXPORT CORPORATION," achat, vente fabrication, toutes marchandises denrees, toutes affaires mobiliers et immobiliers", 51 Rue Nationale,Casablanca,33.59298 : -7.61595, 23859,Tribunal de Casablanca,,Societe Anonyme, 20 000 
EURO ONE, import export tous produits et matieres autorisees, 52 Rue Dazilal 6eme Etage N 13,Casablanca,33.58694440000001 : -7.6111111000000164, 149519,Tribunal de Casablanca, 001334400000007,Societe a Responsabilite Limitee, 500 000 
GHARB CHIMIE AGRICOLE, commercialistion des produits agricoles, 37 Avenue Mohamed V,Kenitra,34.279352 : -6.544314, 24329,Tribunal de Souk Larbaa,,Societe Anonyme, 100 000 
MAROC ORIENTAL (COOPERATIVE DES TRANSPORTEURS DE MARCHANDISES DU)," le groupage, la repartition equitable, la representation, la coordination, la recherche, l'achat en gros et la vente au detail de pieces detache", Rue De Bir Hakeine,Oujda-Angad,34.686527 : -1.909366, 4282,Tribunal de Oujda,,Societe Anonyme, 50 000 
PROMAMED, commercialisation du consommable medical, Residence Raoud El Azhar Imm A4 Appt 402 Rue Ibnou Hazem,Casablanca,33.594432 : -7.574825, 96383,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
SOCIETE DE TELECOMMUNICATION ET SERVICE CENTRE SUD, concessionnaire de services telephoniques, N 129 S Souk Sahb Mabrouka Rte D'agourai,Meknes,33.8706 : -5.57621, 23933,Tribunal de Meknes, 000225969000040,Societe a Responsabilite Limitee, 100 000 
DRIOUCH (STE DE TRANSPORT), transport, Ancienne Route De L'aviation N44,Tanger-Assilah,35.766667 : -5.8, 7737,Tribunal de Tanger,,Societe a Responsabilite Limitee, 1 000 000 
F2J SERVICES," traitement et montage de projets d'architecture et de construction, promotion immobiliere"," 23, Av. Abdelkhalak Torres Lot Olm",Tetouan (M),35.575365 : -5.34325, 12571,Tribunal de Tetouan, 000205190000025,Societe a Responsabilite Limitee a Associe Unique, 100 000 
BENIG," importation, vente, achat, distribution d'articles de confection et autres articles divers", 29 31 Avenue Du Phare Quartier Racine,Casablanca,33.59726 : -7.64574, 151491,Tribunal de Casablanca, 000079978000008,Societe a Responsabilite Limitee, 100 000 
SUPERMICRO," achat, vente, import, distribution de tous materiels informatiques", Amyot N18 Residence Ennour Qh,Casablanca,33.550358251 : -7.55542302103, 97543,Tribunal de Casablanca, 001515331000081,Societe a Responsabilite Limitee a Associe Unique, 100 000 
EVENTS GLORYS," promotion immobiliere. - vente de materiaux de construction evenementiels, communication et assistance aeronautique", 3 Rue Du Calavon Bd Abdelmoumen,Casablanca,33.578428 : -7.624644, 149383,Tribunal de Casablanca, 000206208000087,Societe a Responsabilite Limitee a Associe Unique, 10 000 
TECHNOVA (STE) (TECHNOVA), entrepreneur de travaux divers, Im 21 Rue Sebou,Rabat,34.00359 : -6.847975, 44951,Tribunal de Rabat,,Societe Anonyme, 250 000 
REDA," transport de malades, de blesses et de cadavres", 15 Rue Al Mabarra,Tanger-Assilah,35.7666667 : -5.7999999999999545, 2731,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000 
ALIA DISTRIBUTION DE PRODUITS ALIMENTAIRES (ALIADIS), marchand d'epicerie en gros, Rue Zine El Abidine Quartier Roches Noires,Casablanca,33.601927 : -7.578473, 61865,Tribunal de Casablanca,,Societe Anonyme, 200 000 
FILMATISS (FILMATISS)," creation, acquisition, exploitation des etablissements industriels de tissage et de filature de tous articles de textile de toute nature, achat", Zone Industrielle Route De Tetouan,Tanger-Assilah,35.735182 : -5.765796, 3513,Tribunal de Tanger,,Societe Anonyme, 50 000 
SUD PNEUS (STE), commercialisation des pneus, N10 Route De Safi,Marrakech,31.633333 : -8, 10669,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 200 000 
OUTAIR TRADING, import export, Angle J Tarek Andalous R Soundous N13,Tanger-Assilah,35.7666667 : -5.7999999999999545, 14521,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000 
REALISATIONS ET ETUDES ELECTRIQUES POUR LE BATIMENT ET L'INDUSTRIE (STE DE) (SORELBI)," realisation et etudes electriques, marchand importateur", 58 Rue De La Schlacht,Casablanca,33.57838 : -7.63853, 42713,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
