Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
SKODA (STE), bureau de representation, 379-383 Bd Ibn Tachfine,Casablanca,33.58416 : -7.57206, 90569,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
CARLES PERE ET FILS (ATELIER DE MECANIQUE AUTOMOBILE ET INDUSTRIELLE)," constructions, reparation, etudes techniques de toutes machines ou pieces mecaniques etc", 3 Rue Parmentier,Rabat,34.015049 : -6.83272, 9543,Tribunal de Rabat,,Societe a Responsabilite Limitee, 3 000 000 
VIVI. M," travaux de soudureur et d charpente, menuiserie de bois et menuiserie mettalique, peinture, paltre, construction de batiment, import export", Av Mly Rachid Hay El Massira N 84 Boujdour,Laayoune,26.125849 : -14.485291, 5255,Tribunal de Laayoune,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
BLOOMVALE (BLOOMVALE), marchand effectuant import-export, Rue Othman Ex Aspirant Lafuente N51,Casablanca,33.58524 : -7.62375, 72061,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000 
INTERCONTINENTAL DE PLASTIQUE, import-export, Avenue Des Far Immeuble Saloua N4,Mohammedia,33.699335 : -7.389384, 883,Tribunal de Mohammedia,,Societe Anonyme, 100 000 
ATLAS MEKNES (SERIE BOIS) (SBAB), entreprise de menuiseries, Lot Souria Km 6 Route El Hadj Kaddour,Meknes,33.844763 : -5.52282, 18597,Tribunal de Meknes,,Societe a Responsabilite Limitee, 60 000 
COM SERVICES (STE), entrepreneur de travaux mecanographiques, Rue Jabal Toubkal N1,Rabat,34.015049 : -6.832719999999995, 28447,Tribunal de Rabat,,Societe Anonyme, 1 050 000 
MAROCAINE D'ETUDES ET E FOURNITURES ELECTRIQUES ET DE TELECOMMUNICATION (MAROC TELEC)," la realisation des travaux d'installation, concessionnaire d'une teleboutique", 55 Rue Aspirant Lafuente,Casablanca,33.58524 : -7.62375, 31209,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 300 000 
MAROCAINE DE LOCATION DES PHOTOCOPIEURS (STE) (SOMALOP), loueur de machines mecanographiques, Rue De Noyon Residence Dar El Beida,Casablanca,33.592665 : -7.592294, 75449,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
AGA MILLE FLEURE, approvionneur de navires, N 116 Hay El Moustakbal Ait Melloul,Inezgane- Ait Melloul,30.3658333 : -9.538055600000007, 2791,Tribunal de Inzegane, 001465144000040,Societe a Responsabilite Limitee, 100 000 
BOUMAJDI SERVICES," travaux divers, negociant", Hay Cheikh Lamfadel Rue Ouergane N60,Sale,34.054772 : -6.783817, 9307,Tribunal de Sale,,Societe a Responsabilite Limitee, 20 000 
NEGOCE SAWLI, negoce import export commerce," 21, Rue El Hatimi",Casablanca,33.56937 : -7.64056, 97913,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 100 000 
AFRICAINE (CIE D'ARMEMENTS ET DE PECHERIES) (CAPA), armement affretement et la consignation de navires la peche de tous poissons en general construction entretien reparation etc, Tighert Region De Mogador,Essaouira,31.50976 : -9.767865, 2377,Tribunal de Marrakech,,Societe Anonyme, 100 000 
