Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
ENTREPRISE BOUALI DE TRAVAUX (EBT), travaux divers, Ndeg141 Rue Tarik Ben Ziad,Goulmima (M),31.691048 : -4.95413,1891.0,Tribunal de Errachidia,1560046000038.0,Societe a Responsabilite Limitee,societe-entreprise-bouali-de-travaux-32028, 68 000 000 
KAYNA GROUP," production de pates alimentaires, couscous et semoules"," Zone Indust Berrechid, Route Principale 7",Berrechid (M),33.270982 : -7.584739,9567.0,Tribunal de Berrechid,1548403000022.0,Societe a Responsabilite Limitee,societe-kayna-group-207926, 26 160 000 
CORAIL DEVELOPEMENT, promotion immobiliere," 295, Avenue Mohamed Vi, 10000,",Souissi (AR),33.998538 : -6.827455,65025.0,Tribunal de Rabat,165779000032.0,Societe a Responsabilite Limitee a Associe Unique,societe-corail-developement-183044, 2 000 000 
FIRST REST INTERNATIONAL 2," la creation et la gestion d'etablissement de restauration rapide sous la marque mcdonalds; l'animation touristique ; et plus generalement, toutes activites touristiques, toutes operations commerciales, mobilieres ou immobilieres pouvant se rattacher a l'objet precite et a tous objet similaires et connexes."," 3, Rue Bab El Mansour, Espace Porte D'anfa, Porte 3, 3eme Etage",Casablanca,33.5897 : -7.64468,238861.0,Tribunal de Casablanca,1511793000062.0,Societe a Responsabilite Limitee a Associe Unique,societe-first-rest-international-2-303425, 1 000 000 
AEROTECHNIC INDUSTRIES, reparation et maintenance des avions type airbus et boeing," Zone Industrielle Royal Air Maroc, Aeroport Mohammed V,",Nouaceur (M),33.40905 : -7.53418,223993.0,Tribunal de Casablanca,70465000003.0,Societe Anonyme,societe-aerotechnic-industries-165007, 67 840 000 
SENASTEEL," marchand de materiaux de construction, en outre et en general, toutes les operations commerciales, industrielles, financieres, mobilieres ou immobilieres susceptibles de favoriser le developpement et l'extension de la societe"," 18 Av Allal Ben Abdellah, Res Al Wilaya Seme Etage, Bureau Ndeg 3",Fes-Medina (AR),34.0333333 : -5,572413.0,Tribunal de Casablanca,208460000005.0,Societe a Responsabilite Limitee,societe-senasteel-366799, 6 000 000 
CORPORATE SOFTWARE, conseil en informatique - commerce et distribution de produits informatiques - import export, 6 Bis Rue Najib Mahfoud (ex Ollier) Quartier Gauthier,Casablanca,33.59072 : -7.63443,94353.0,Tribunal de Casablanca,1537167000075.0,Societe a Responsabilite Limitee,societe-corporate-software-94657, 11 000 000 
EURO CERAMICA," vente, exposition et fabrication de carrelage la creation d'agence commerciale tant au maroc et, generalement toutes operations commerciales, industrielles, techniques, financieres, electroniques ou informatiques, pouvant se rattacher directement ou indirectement en totalite ou en partie, a l'objet social ou susceptible de permettre la realisation ou le developpement des activites de la societe.", Cercle Al Gara Commune Ariah Douar Oulad Aghfir,Deroua,33.276969 : -7.233663,8945.0,Tribunal de Berrechid,1826471000083.0,Societe a Responsabilite Limitee a Associe Unique,societe-euro-ceramica-331825, 50 000 000 
ERAMEDIC (ERAMEDIC)," la fabrication, la transformation, l'installation, l'achat, la vente de tous materiel, l'acquisition, la creation, l'organisation", 246 Bd Mohamed V,Casablanca,33.593485 : -7.603666,34129.0,Tribunal de Casablanca,1525198000034.0,Societe Anonyme,societe-eramedic-14148, 10 000 000 
DEVOTEAM, agence de conseil et de telecommunication, Bureau 1 Ndeg16 Au Centre Commerciale Jassemine Au Angle Bd Souss Et Bd Sohoul,Rabat,34.015049 : -6.832719999999995,56443.0,Tribunal de Rabat,43032000002.0,Societe a Responsabilite Limitee,societe-devoteam-133723, 400 000 
MATYSHA MAROC," promotion immobiliere - import export, emballage et conditionnement", Imm Ndeg 04 Av Hassan Ii Les Galeries Inbiat,Agadir (M),30.416292 : -9.595361,16115.0,Tribunal de Agadir,228513000028.0,Societe a Responsabilite Limitee a Associe Unique,societe-matysha-maroc-228013, 30 000 000 
M.M.F ISKANE, - promotion immobiliere - entrepreneur de travaux divers ou construction, Saniat Doukali Douar Brahma Bouknadel,Sidi Bouknadel,34.083715 : -6.742038,18941.0,Tribunal de Sale,1815594000046.0,Societe a Responsabilite Limitee a Associe Unique,societe-m-m-f-iskane-350258, 100 000 
