Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
INETUM MAROC, import export - commerce de gros de materiel informatique - nouvelle technologie informatique : materiels et logiciels, Parc Casanearshore Shore 28 Plateaux 001 002 301 401 701 Bd Al Qods Sidi Maarouf,Casablanca,33.58694440000001 : -7.6111111000000164,50877.0,Tribunal de Casablanca,230911000078.0,Societe Anonyme,societe-inetum-maroc-52918, 5 100 000 
EXCELLENCE IMMO VI," la promotion immobiliere sur tout le territoire marocain - l'acquisition en zone d'agadir d'une parcelle de terrain d'une superficie de 47450 metres canes a distraire par voie de morcellement du titre mere numero 3050/c a l'effet d'y realiser un projet immobilier - les operations de lotissement, de morcellement, la construction en vue de la revente ou de la location de tous immeubles destines a l'habitation ou aux activites commerciales ou industrielles ; - l'acquisition de tous terrains urbains ou agricoles, notamment le terrain sis a agadir, - l'importation et la commercialisation de tous produits et articles se rapportant directement ou indirectement a l'activite du batiment et de la construction ; - toutes operations d'intermediation, de courtage et de commission relatives a l'objet sociale ; - la participation dans toutes operations commerciales, industrielles, agricoles soit directement ou indirectement par voie de creation de societes nouvelles d'apports, commandites, souscription ou achats de titre sociaux, fusion alliances ; - et plus generalement, toutes operations mobilieres, immobilieres, commerciales, industrielles et financieres, pouvant se rattacher directement ou indirectement a l'objet social sus - indique ou a tous autres objets similaires ou connexes susceptibles de favoriser le developpement de la societe."," 201, Boulevard Zerktouni 1er Etage",Casablanca,33.58694440000001 : -7.6111111000000164,281979.0,Tribunal de Casablanca,1512883000023.0,Societe a Responsabilite Limitee,societe-excellence-immo-vi-367331, 1 000 000 
GURMA TRANSPORT, marchand de carburants en gros, Ndeg10 Rue 1610 Hay Saada Edchira,Inezgane (M),30.3658333 : -9.538055600000007,19349.0,Tribunal de Inzegane,2360164000013.0,Societe a Responsabilite Limitee a Associe Unique,societe-gurma-transport-910839, 100 000 
STE NASSIM EL GHAREB, entrepreneur de travaux rivers ou construction, Arsat Sala N 459 Route De Mehdia,Sale,34.033333 : -6.8,24323.0,Tribunal de Sale,413304000060.0,Societe a Responsabilite Limitee,societe-ste-nassim-el-ghareb-455611, 1 000 000 
MOBILE UP, marchand d'accessoires de telephone (services telecom)," 14, Rue Des Papillons Quartier Oasis",Casablanca,33.58694440000001 : -7.6111111000000164,339861.0,Tribunal de Casablanca,324641000001.0,Societe a Responsabilite Limitee,societe-mobile-up-455491, 5 000 000 
SORAYA LAND, promotion immobiliere," Residence Saad 2, Immeuble 3, Appartement 15, Harhoura",Temara (M),33.934483 : -6.943328,71369.0,Tribunal de Rabat,1509283000029.0,Societe a Responsabilite Limitee a Associe Unique,societe-soraya-land-310660, 5 000 000 
UNITED REEFERS MAROC (UNIREEF), transport maritime - transit, 12 Rue Jilali Al Ouraibi 2 Et 4eme Etage,Casablanca,33.59673 : -7.61523,116745.0,Tribunal de Casablanca,1535743000014.0,Societe a Responsabilite Limitee,societe-united-reefers-maroc-127629, 6 000 000 
LIBRAIRIE PAPETERIE DES ECOLES A.MOYNIER ET CIE, imprimerie papeterie librairie editions," 12, Avenue Hassan Ii",Casablanca,33.59419 : -7.61833,10747.0,Tribunal de Casablanca,203350000041.0,Societe Anonyme,societe-librairie-papeterie-des-ecoles-a-moynier-et-cie-70594, 2 000 000 
SOCIETE DE CONSTRUCTION TERHZAZ (COTER ), travaux de batiments et genie civil, 3 Rue Chellal Ouzoud 461 Agdal,Agdal Riyad (AR),34.015049 : -6.832719999999995,46375.0,Tribunal de Rabat,1536429000019.0,Societe a Responsabilite Limitee,societe-societe-de-construction-terhzaz-81886, 35 000 000 
NATUREX MAROC, extraction de plantes naturelles - extraction huiles essentielles, Technopole Onda Aeroport Mohamed V Nouasseur 26200- Bp 42,Nouaceur (M),33.371898 : -7.543865,96351.0,Tribunal de Casablanca,1532073000067.0,Societe Anonyme,societe-naturex-maroc-99164, 24 640 100 
INDUSTRIE TEXTILE (ITEX), industrie du textile - commerce de gros de tissus pour le textile," 541, Bd Mohamed Vi",Casablanca,33.573915 : -7.597985,35553.0,Tribunal de Casablanca,1536860000022.0,Societe Anonyme,societe-industrie-textile-61339, 105 000 000 
SALHY FER, commercialisation de produits metallurgiques.," 216, Douar Rich El Ghaba 728 Mers El Khir 13150",Skhirate- Temara,33.929956 : -6.91434,50683.0,Tribunal de Rabat,518609000089.0,Societe a Responsabilite Limitee,societe-salhy-fer-100443, 25 000 000 
ATLAS COPCO MAROC," etude, realisation et commerce de materiel a air comprime et hydraulique.",,,33.58777 : -7.57274,10917.0,Tribunal de Casablanca,1534830000027.0,Societe Anonyme,societe-atlas-copco-maroc-71686, 6 000 000 
TRADASTAR," achat, vente, import, export, distribution toutes matieres et tous produits du secteur alimentaire", 51 Rue De Bruxelles Residence Kenza 2eme Etage Appt 3,Casablanca,33.57445 : -7.613575,123135.0,Tribunal de Casablanca,1430716000045.0,Societe a Responsabilite Limitee,societe-tradastar-135426, 152 950 000 
GLOBAL DIS, transport de marchandise pour le compte d'autrui. import-export. negoce., 357 Bd Mohammed V 9eme Etage Espace A/1 Bis Belvedere,Casablanca,33.590214 : -7.591511,381497.0,Tribunal de Casablanca,189605000034.0,Societe a Responsabilite Limitee,societe-global-dis-369690, 4 700 000 
SOUTH GRAINS AND CEREALS COMPANY," -transport des marchandises dont le tonnage agree est inferieur a 15 tonnes ; -aliments de betails de toutes natures ou origine.marchand de grains et cereales en gros; import-export ; negoce; et plus generalement, toutes operations commerciales, industrielles, financieres, civil, mobilieres et immobilieres, pouvant se rattacher directement ou indirectement, en totalite ou en partie a l'objet social ou a tous objets similaires ou connexes, susceptible de favoriser le developpement de la societe.", Bureau Ndeg02 Rdc Z 138 Al Jinane Ain Chkef,Ain Chkef,34.0877778 : -5.181111099999953,58383.0,Tribunal de Fes,2153095000087.0,Societe a Responsabilite Limitee,societe-south-grains-and-cereals-company-839350, 24 262 400 
SAMINERAL, exploitation miniers travaux de genie civil importation et exportation, Ksar Tisgdlt Mdaghra Pb Ndeg325 Poste Centrale,Errachidia (M),31.903262 : -4.177508,12443.0,Tribunal de Errachidia,2086632000088.0,Societe a Responsabilite Limitee,societe-samineral-820729, 900 000 
STE ANONYME D'ENTREPRISES MINIERES (SAMINE), exploitation de gisements miniers," Twin Center, Tour A, Angle Bd. Zerktouni Et Bd. Al Massira Al Khadra, Bp 16016, Maarif",Casablanca,33.587398 : -7.641117,89661.0,Tribunal de Casablanca,,Societe Anonyme,societe-ste-anonyme-d-entreprises-minieres-90046, 29 000 000 
LA CLE DES CHAMPS," commerce de vins, alcools et spiritueux"," 38,boulevard Ain Ifrane,lot Alamia, Sidi Moumen",Sidi Moumen (AR),33.58694440000001 : -7.6111111000000164,133663.0,Tribunal de Casablanca,94142000051.0,Societe Anonyme,societe-la-cle-des-champs-150452, 18 000 000 
OMNIUM DE CONSTRUCTION ET DE BATIMENT DU MAGHREB (OCBM), entreprise de travaux publics et de batiment," Route Cotiere, Bd Annassij Ex B Quartier Industriel Est, Sidi Bernoussi",Sidi Bernoussi (AR),33.618119 : -7.49064,35215.0,Tribunal de Casablanca,1514070000081.0,Societe Anonyme,societe-omnium-de-construction-et-de-batiment-du-maghreb-61498, 30 000 000 
CARREFOUR FOOD," commercialisation de tous les produits industriels agro industriels et denrees alimentaires, entrepreneur de transport de marchandises", 49 Lot Mabrouka (ouafae) Q.i Ben Souda,Fes,34.0158670276 : -5.05855533362,25753.0,Tribunal de Fes,65593000015.0,Societe a Responsabilite Limitee,societe-carrefour-food-168567, 5 200 000 
MAFODER FONDERIE, fonderie de fontes et aciers - fabrication et commercialisation de pieces en fonte et en acier,,,33.54182 : -7.68278,44295.0,Tribunal de Casablanca,1527492000079.0,Societe a Responsabilite Limitee,societe-mafoder-fonderie-58019, 20 000 000 
S.N.L. TRAVAUX," - exploitation des carrieres de concassage. - entreprise exploitant de depannage, remorquage de vehicules automobiles. - lotisseur -fabricant et marchand d'emulsions de, bitume,installation industrielles et domestiques, travaux divers marchand de fourniture et materiaux de construction location des engins des t.p et industrielle transporteur de marchandises et d'engins reboisement et jardinage loueur de la main d'oeuvre et gardiennage et plus generalement, toutes operations commerciales, mobilieres? immobilieres, financieres et agricoles se rattachant directement ou indirectement en toutou en partie, a l'une ou l'autre des operations visees ci-dessus de maniere a faciliter, favoriser ou developper l'activite de la societe, ainsi que toute participation, directe ou indirecte, sous quelque forme que ce soit, dans toutes entreprises poursuivant des buts similaires ou connexes", Ndeg 6 Lotissement Ard El Abdi Al Massar Route De Safi,Marrakech-Medina (AR),31.6333333 : -8,47663.0,Tribunal de Marrakech,227751000038.0,Societe a Responsabilite Limitee a Associe Unique,societe-s-n-l-travaux-308206, 23 000 000 
COMPAGNIE DE TRAVAUX HYDRAULIQUES DU MAGHREB (CTHM )," travaux hydrauliques, travaux d'alimentation en eaux potables et assainissement", Zone Industrielle Ain Atiq,Ain Attig,35.77871 : -5.81219,133173.0,Tribunal de Temara,226174000034.0,Societe Anonyme,societe-compagnie-de-travaux-hydrauliques-du-maghreb-125437, 2 042 500 
ALLIANCES DEVELOPPEMENT IMMOBILIER, promotion immobiliere,,,33.58628 : -7.64493,74703.0,Tribunal de Casablanca,1534314000088.0,Societe Anonyme,societe-alliances-developpement-immobilier-43787, 2 207 858 800 
DAMA CONSULTING," le conseil, l'assistance en management des ressources humaines, recrutement", 34 Bd Zerktouni Appt Ndeg 33 11eme Etage Cdh,Casablanca,33.58285 : -7.61705,98301.0,Tribunal de Casablanca,87756000007.0,Societe a Responsabilite Limitee,societe-dama-consulting-101878, 1 000 000 
IMANDY GRAINS," l'achat, l'importation, la vente, le stockage, le conditionnement et la distribution de toutes cereales et legumineuses de toute nature, sous toutes formes et toutes origines. la commercialisation de tous produits et articles destines a l'alimentation du betail et du cheptel. la commercialisation de tous produits et articles relevant de l'alimentation generale naturelle ou manufacturee l'aviculture en general et sous toutes formes. l'importation, l'achat, la vente, l'elevage de tous animaux de betai1 et toutes activites connexes ou derivees. toutes operations relatives a l'agriculture."," Douar Laasilat, Lot Ndeg 24, Commune Khyayta",Lakhiaita,33.368268 : -7.777899,9403.0,Tribunal de Berrechid,1426917000089.0,Societe a Responsabilite Limitee a Associe Unique,societe-imandy-grains-399695, 115 000 000 
SOCHTRAP, genie civil et travaux divers de construction," 1 Rue Des Ait Ba Amrane, Mohamed V Centre Imm B, 6eme Etage Bureau 610",Casablanca,33.59483 : -7.60044,307727.0,Tribunal de Casablanca,1516855000061.0,Societe a Responsabilite Limitee a Associe Unique,societe-sochtrap-103408, 35 100 000 
NOUV EAU," la realisation de toutes etudes notamment relative a l'hydraulique urbaine, adduction et distribution d'eau assainissement urbaine traitement d'eau. etude generale, technologie de l'information, lotissement etude de vrd route autoroute transport barrage travaux maritimes travaux de genie de defense, etude agricole, batiment et industrie, energie, geologie geotechnique, les operations de diagnostic de mesure et d'analyse des installations. operation de detection et reparation des fuites des reseaux d'eau potable, assistance technique : 2) realisation de travaux notamment : terrassement genie civil, realisation d'ouvrage d'art construction metallique, travaux de realisation de fourrage d'eau fourniture et equipement de point d'eau en moyen de pompage. plus generalement toutes les operations de services industrielles commerciales et financieres et mobilieres qui pourraient se rattacher directement ou indirectement a l'une des operations visees si dessus ou pouvant favoriser le developpement de la societe", Agadir Bay Technopole 2 Bloc E Bureau 309,Agadir (M),31.12001849999999 : -6.067919399999937,17791.0,Tribunal de Agadir,49722000083.0,Societe a Responsabilite Limitee a Associe Unique,societe-nouv-eau-249231, 35 000 000 
CARTIER SAADA," production de conserves d'olives, abricots et confitures",,,31.199238 : -8.7949,959.0,Tribunal de Marrakech,1525856000019.0,Societe Anonyme,societe-cartier-saada-96, 52 650 000 
MOULINS MRANIA (SMOMRA), minoterie industrielle, Avenue Abbas Mekri Quartier Dokkarat,Fes-Medina (AR),34.026063 : -5.006911,24043.0,Tribunal de Fes,65400000085.0,Societe a Responsabilite Limitee,societe-ste-moulins-mrania-146021, 29 200 000 
SOCIETE BOUARGA ROUTIERE (SBTR), travaux de construction et travaux routiers divers, 161 Quartier Industrielle Sidi Ghanem,Sidi Ghanem,31.199238 : -8.7949,9875.0,Tribunal de Marrakech,1459545000087.0,Societe a Responsabilite Limitee,societe-bouarga-routiere-83192, 118 775 000 
P-DIS," import-export en general. location et sous-location des vehicules -vente des produits de nettoyage et d'alimentation ; fourniture, vente et distribution en gros et en detail des produits alimentaires, des produits d'entretien et d'hygiene, d'electricite et de quincaillerie, de la peinture, de jardinage et de bricolage ; le negoce en general, l'achat, l'importation, l'exportation, la fabrication et la revente en gros ou en detail de tous produits et notamment ceux enonces ci-dessus ; la participation aux marches publics et prives ; la prise de participation sous toute forme, y compris fusion dans toute societe, groupement ou consortium et autres associations crees ou a creer ; et plus generalement, toutes operations commerciales, financieres, mobilieres ou immobilieres, se rattachant directement ou indirectement a l'objet ci-dessus defini, ou a tout autre objet similaire ou connexe ."," Magasin 2 Residence Safae, 351b, Route De Tetouan, Charf Mghougha 90070",Charf-Mghogha (AR),35.735182 : -5.765796,56565.0,Tribunal de Tanger,1529858000023.0,Societe a Responsabilite Limitee,societe-p-dis-311569, 1 500 000 
HEXCEL COMPOSITES," la societe a pour objet principalement le developpement et/ou la fabrication et/ou la commercialisation de nids d'abeille et/ou nids d'abeille usines, de tous renforts, secs ou pre impregnes, de fibres de carbone, de resine et autres materiaux complementaires ou connexes, et toutes operations pouvant s'y rattacher directement ou indirectement ou pouvant contribuer au developpement des affaires sociales."," Zone Franche Midparc, Nouaceur, Lots 82 A 85 Et 90 A 93.",Nouaceur (M),33.371898 : -7.543865,341061.0,Tribunal de Casablanca,319520000043.0,Societe a Responsabilite Limitee a Associe Unique,societe-hexcel-composites-468910, 33 505 000 
HAMRI AGGLOS, fabrication de materiaux de construction, Douar Lahouamed,Sidi Yahya Zaer,34.310284 : -6.308296,85889.0,Tribunal de Rabat,1433591000020.0,Societe a Responsabilite Limitee,societe-hamri-agglos-305107, 7 000 000 
PASTOR, fabrication de confiserie et chocolaterie.," 49, Rue Ennasrine, Beausejour",Casablanca,33.568475 : -7.65022,23693.0,Tribunal de Casablanca,1511742000081.0,Societe Anonyme,societe-pastor-65392, 55 000 000 
ORBIS AUTOMOTIVE PREMIUM," achat, vente, distribution, import, export de vehicules neufs, d'engins de toutes categories ainsi que leurs pieces de rechanges; * production, fabrication et assemblage de pieces detachees, pieces automobiles ou toutes pieces appartenant a tous les engins de toutes categories; * la prise d'interet par voie d'apport, de fusion, de participation, de souscriptions d'action, de parts ou obligations ou de toute autre maniere dans toutes entreprises ou societe se rattachant directement ou indirectement a l'objet social; * et plus generalement, toutes operations commerciales, industrielles, mobilieres, immobilieres et financieres; pouvant se rattacher directement ou indirectement a l'objet social ou susceptibles de favoriser le developpement de la societe."," 32, Av Hassan Ii, Lot Vita",Rabat,34.015049 : -6.832719999999995,132753.0,Tribunal de Rabat,2106128000018.0,Societe Anonyme,societe-orbis-automotive-premium-795776, 4 000 000 
CIPLA MAROC," l'importation et a la distribution de dispositifs medicaux, de complements alimentaires, de produits cosmetiques et de reactifs fournir des services de commercialisation, fabriquer, importer, distribuer, commercialiser, vendre des produits pharmaceutiques, realiser des operations financieres, commerciales, industrielles, acheter des biens mobiliers et immobiliers ou d'autres operations se rattachant directement ou indirectement. en totalite ou en partie a l'objet de la societe specifie ci-dessus et tout objet similaire ou connexe susceptible de faciliter ou promouvoir le developpement de la societe et son activite"," 33, Avenue Hassan Sghir, Bureau Ndeg 7-1, 7eme Etage",Casablanca,33.594755 : -7.610325,326297.0,Tribunal de Casablanca,105262000026.0,Societe Anonyme,societe-cipla-maroc-438098, 136 816 992 
"FRESENIUS MEDICAL CARE NORD, OUEST ET CENTRE AFRIQUE", importation et vente de materiels de dialyse," 33, Bd Moulay Youssef",Casablanca,33.59529 : -7.63021,35103.0,Tribunal de Casablanca,1537057000038.0,Societe Anonyme,societe-fresenius-medical-care-nord-ouest-et-centre-afrique-61873, 35 900 000 
DATAPROTECT," developpement et integration de solutions informatiques et digitales, bpo et ito", Tour Casablanca Finance City Lot Ndeg57 10emes Etage Quart De Plateau Oriente Nord-est Quartier Casa-anfa Hay Hassani,Casablanca,33.58694440000001 : -7.6111111000000164,201173.0,Tribunal de Casablanca,203891000081.0,Societe a Responsabilite Limitee a Associe Unique,societe-dataprotect-262324, 1 000 000 
SIALCO (SIALCO), conserves alimentaires - conserves de poissons., Quartier Industriel D'anza Cote Mer Commune Urbaine D'anza,Agadir (M),31.12001849999999 : -6.067919399999937,5059.0,Tribunal de Agadir,87612000015.0,Societe Anonyme,societe-sialco-33914, 34 875 000 
PREMIUM CONTROL AND SERVICES, - vente de prestations de gardiennage, Lot Lina N 259 Rdc Et Sous Sol Sidi Maarouf,Casablanca,33.52482 : -7.65048,195563.0,Tribunal de Casablanca,167052000096.0,Societe Anonyme,societe-premium-control-and-services-239567, 10 000 000 
AXIAL FACILITIES," entrepreneur de nettoyage (services aux entreprises), les activites de bureau d'etudes, la prise de participation dans le capital de toute societe industrielle, commerciale, de portefeuille ou financiere, notamment par voie de creation de societes nouvelles, d'apports, fusions, alliances, groupements d'interet economique ou societes en participation, la realisation de toute operation fonciere et immobiliere, la location des proprietes dont elle disposerait, toutes operations industrielles, commerciales ou financieres, mobilieres ou immobilieres se rattachant directement ou indirectement a l'objet social et a tous objets similaires ou connexes, *toutes prestations multiservices a destination des entreprises publiques et privees", Avenue Mehdi Ben Barka Lot Soumia Lot Ndeg5 Souissi,Souissi (AR),33.973256 : -6.84201,88705.0,Tribunal de Rabat,61929000003.0,Societe Anonyme,societe-axial-facilities-320180, 7 500 000 
ONCORAD, negociant exploitant de clinique chirurgicales," Salaj 3, Bd Sidi Abderrahmane Ain Diab Anfa",Anfa (AR),33.5691 : -7.661465,92755.0,Tribunal de Casablanca,1527293000020.0,Societe Anonyme,societe-ste-oncorad-94095, 27 635 400 
AZELIS MOROCCO, marchand importateur de produits chimiques. promotion et revente de produits chimiques specialises.," Km 9,ancienne Route De Rabat",Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,330097.0,Tribunal de Casablanca,2040821000041.0,Societe a Responsabilite Limitee,societe-azelis-morocco-443355, 101 797 600 
VETCO AIT MELLOUL (VETCAM )," location de tous vehicules automobile camion negociant - marchand effectuant importation et exportation - fabricant de carton achat et vente de materiaux de construction et realisation de tous travaux publics ou prives. production, fabrication, transformation et commercialisation de tous produits, objets ou articles en plastique", Lot. Ndeg233 Zone Industrielle,Ait Melloul (M),30.341987 : -9.502322,7349.0,Tribunal de Inzegane,1643060000039.0,Societe a Responsabilite Limitee,societe-vetco-ait-melloul-162923, 30 000 000 
VETCAM GRANULAT, exploitant de carriere de roches massives ; transport de marchandises pour l autrui, N 237 Zone Industrielle Ait Melloul,Ait Melloul (M),30.3658333 : -9.538055600000007,20903.0,Tribunal de Inzegane,2534941000084.0,Societe a Responsabilite Limitee,societe-vetcam-granulat-938881, 200 000 
MINOTERIES HOUCINE LAHBABI," - l'industrie et le commerce de la minoterie, de la meunerie et de la semoulerie en general, les pates alimentaires, la biscuiterie ; - l'acquisition, l'exploitation et le commerce se rattachant a l'industrie de la minoterie, semoulerie fabrique de pates alimentaires, biscuiterie et d'une maniere generalede toutes cereales. l'achat, la vente, l'importation, l'exportation de tous produits matieres premieres ou produits des fabrications de la societe, ainsi que l'achat ou l'importation du materiel necessaire aux activites industrielles ; - l'achat, la vente, l'edification, la prise a bail, l'exploitation de toutes usines rentrant dans le cadre de la minoterie et de toutes autres industries connexes. la prise, l'acquisition, l'exploitation, la vente ou l'octroi de licences, de tous brevets, marques de fabrique entrant dans l'objet de la societe et plus generalement, toutes operations commerciales , industrielles, mobilieres, immobilieres et financieres, se rattachant directement ou indirectement aux objets precites, ou susceptibles d'en favoriser la realisation et le developpement, ainsi que toute participation directe ou indirecte, sous quelque forme que ce soit, dans les entreprises poursuivant des buts similaires ou connexes.", Rue Khawarizmi Lot 21 (ex. Rue 800) Quartier Industriel De Sidi Brahim,Fes-Medina (AR),34.029162 : -4.986257,48339.0,Tribunal de Fes,1763970000004.0,Societe a Responsabilite Limitee,societe-minoteries-houcine-lahbabi-458809, 15 900 000 
OMNIUM AGRICOLE DU SOUSS," production, importation, exportation, achat et vente de plants - vente et plantation des legumes et agrumes marchand importateur vendant en gros, md de produits agricoles et chimiques (semences et materiels). prestations de services ; - achats, ventes, production, importation et exportation des auxiliaires (insectes utiles) ; - agents exotiques de lutte biologique ; - importation du systeme d'irrigation goute a goute, tuyaux en pvc, polyethylene et gaine plastique, programmateur pour irrigation, filet et plastique pour les serres et autres.", Tassila Iii Zone Industrielle,Agadir (M),30.390311 : -9.527207,279.0,Tribunal de Agadir,1459837000060.0,Societe a Responsabilite Limitee,societe-omnium-agricole-du-souss-32883, 20 000 000 
JESA BUILDINGS AND INFRASTRUCTURE, bureau d'etudes techniques : route et ouvrage d'arts.," Imm D, Zenith Rabat, Angle Rocade De Rabat Et Rue Ait Malek, Souissi 10 220",Souissi (AR),34.015049 : -6.832719999999995,25971.0,Tribunal de Rabat,1554649000063.0,Societe Anonyme,societe-jesa-buildings-and-infrastructure-10544, 6 100 000 
RESOLUTION CALL," bpo, centre d'appels", Angle Rue Rachidi Et Rue Oued Zem,Mohammedia (M),33.6833333 : -7.383333300000004,9181.0,Tribunal de Mohammedia,1535596000006.0,Societe a Responsabilite Limitee a Associe Unique,societe-resolution-call-272159, 838 600 
LONGOMETAL AFRIQUE, commerce de gros de produits metallurgiques et metalliques," Rue Oukat Badis, Ain Sebaa",Ain-Sebaa (AR),33.602329 : -7.563285,13415.0,Tribunal de Casablanca,1526622000095.0,Societe Anonyme,societe-longometal-afrique-74525, 13 600 000 
GESTION DELEGUE DU MONOPOLE DE COMMERCE D'ETHANOL (ETHANOL)," la commercialisation des alcools ethyliques au maroc dans le cadre de la concession des services delegues par l'etat. - l'approvisionnement et la distribution, ' exclusivement a envergure nationale, de l'alcool ethylique a tous les operateurs economiques autorises par le departement du commerce et de l'industrie conformement a la reglementation en vigueur. - la denaturation des alcools flegme et surfin conformement aux procedes de denaturation en vigueur. - l'amelioration des conditions de commercialisation des. alcools ethyliques pour les operateurs economiques. - le renforcement de la qualite technique et le maintien en bon etat des equipements et ouvrages affectes aux services delegues. - la mise en place et le maintien des equipement et installations necessaires pour la securite des lieux et des utilisateurs conformement aux normes admises en la matiere. - le developpement du secteur des alcools ethyliques au maroc", Souk El Had,Ben Mansour,34.513331 : -6.427448,33721.0,Tribunal de Kenitra,1526035000036.0,Societe Anonyme,societe-gestion-delegue-du-monopole-de-commerce-d-ethanol-255787, 5 000 000 
SBN IMMO, promoteur immobilie," 40, Rue Antaki, Residence Al Oumam, Bureau Ndeg 5 Place Des Nations 90 000",Tanger-Medina (AR),35.77886 : -5.805,34691.0,Tribunal de Tanger,1552266000093.0,Societe a Responsabilite Limitee,societe-sbn-immo-206034, 62 800 000 
FORGES DE BAZAS, entretien et reparation mecanique - commerce de materiels de manutention - vente de pompes hydrauliques,,,33.58694440000001 : -7.6111111000000164,16661.0,Tribunal de Casablanca,1524502000008.0,Societe Anonyme,societe-forges-de-bazas-266, 20 500 000 
CASUAL PANT," confection d'articles d'habillement pour hommes, femmes et enfants"," Lot Mabrouka, 13 Lotissement Khalidia, Zone Industrielle Moulay Rechid",Casablanca,33.555903 : -7.552163,163205.0,Tribunal de Casablanca,1535870000077.0,Societe a Responsabilite Limitee,societe-casual-pant-199433, 6 000 000 
COMPAGNIE SOUSSIA DE NOUTRITION ANIMALE (COSSONA), fabrication d'aliments pour volaille et betail," Km 2,5 Route De Guelmim",Tiznit,29.705143 : -9.739447,183.0,Tribunal de Tiznit,1544923000086.0,Societe Anonyme,societe-compagnie-soussia-de-noutrition-animale-80747, 20 100 000 
SOKETRADOZ (SOKETRADOZ), travaux de construction et travaux divers - voirie et assainissement, Bloc 1 Ndeg 1 Cite La Resistance,Ouarzazate (M),30.919091 : -6.903823,211.0,Tribunal de Ouarzazate,1592240000017.0,Societe a Responsabilite Limitee,societe-soketradoz-10581, 66 400 000 
PHARMACEUTIQUE SAIS (SOPHASAIS )," -le transport pour son propre compte et pour le compte d'autrui,-vente et distribution des medicaments et produits pharmaceutiques en gros. - toutes operations commerciales, industrielles, financieres, mobilieres et immobilieres se rapportant directement ou indirectement a l'objet social et a tous objets similaires ou connexes. * plus generalement, la participation de la societe par tous moyens a toutes entreprises ou societes creees ou a creer, pouvant se rattacher a l'objet social, notamment par voie de creation de societes nouvelles, d'apports, fusions, alliances ou associations en participation."," 36, Rue Jabir Ibn Hayane, Quartier Industriel Sidi Brahim",Fes-Medina (AR),34.024081 : -5.007227,42843.0,Tribunal de Fes,1517507000014.0,Societe Anonyme,societe-societe-pharmaceutique-sais-366524, 15 000 000 
MAROCAIN DE MOTAGE DE AUTOMOBIL ET D'INDUSTRAI, commissionnaire de transport par terre par mer ou par air, C/o Mr Mendil Sidi Mohamed 89 Bd De La Gar Casa,Casablanca,33.61056 : -7.52746,64945.0,Tribunal de Casablanca,,Societe Anonyme,societe-marocain-de-motage-de-automobil-et-d-industrai-42892, 1 830 000 
LES GRANDS MOULINS DE TIZNIT, minoterie industrielle - semoulerie, Km 1 Rte De Tafraout Bp 76,Tiznit (M),29.705143 : -9.739447,1.0,Tribunal de Tiznit,1546194000010.0,Societe Anonyme,societe-les-grands-moulins-de-tiznit-158, 46 000 000 
ECH HARIKA ET TIJARIA WA EZ ZIRAIA (TIZI), vente de materiel agricole et vehicules automobiles, 1 Route D'el Hajeb Mejjat,Meknes (M),33.895 : -5.554722200000015,15718.0,Tribunal de Meknes,1540249000087.0,Societe a Responsabilite Limitee a Associe Unique,societe-ech-harika-et-tijaria-wa-ez-ziraia-30874, 9 000 000 
SUMILON ECO PET," la fabrication processus commence vente achat import export et traitement des resines en pet en petrochimique itineraire, fit polyester. l'industrie du polyester en general le negoce international sous toutes ses formes, l' importation l'exportation, la representation, la consignation. le courtage, le transit, l'achat, la vente, la promotion, tant pour son compte, que pour le compte de tiers, de tous materiels, produits, articles. matieres premieres en matiere polyester manufactures on semi manufactures. *la souscription, l'achat, la vente, pst negociation, la cession d'actions, ale pans sociales. d'obligation et d'une maniere generale de toutes valeurs immobilieres crees ou a creer par routes societes ou personnes morales, quels qu'eut soient la forme et l'objet. *l'acquisition pour son compte ale tous brevets, licences, procedes et marques de fabrique entrant clans l'objet de la societe, leur exploitation et le cas echeant leur cession. limites operations financieres a realiser par voie d'apports de souscription. d'achats, ale ventes, de titres de droits sociaux, de parts sociales et de commandite, de fusion, d'association, de participation, ou de creation de societes filiales elever pret ou des fonds aupres des banques ou autrement *la societe peut egalement participer directement ou indirectement dans toute societe industrielle similaire, la creer ou la prendre en gerance et faire toute operation commerciale, industrielle, financiere, mobiliere et immobiliere se rattachant directement ou indirectement au l'objet ci - dessus et pouvant favoriser le developpement de la societe. et peut egalement effectuer toutes les activites similaires et necessaires pour le developpement ale l'objet principal de la societe",,,35.746434 : -5.808113,61295.0,Tribunal de Tanger,32875000022.0,Societe a Responsabilite Limitee,societe-sumilon-eco-pet-376634, 18 000 000 
RELATS MAROC, couverture en textile de cables electriques.," Ilot D, Zone Franche D'exportation",Tanger-Medina (AR),35.7666667 : -5.7999999999999545,49613.0,Tribunal de Tanger,223458000034.0,Societe a Responsabilite Limitee a Associe Unique,societe-relats-maroc-312768, 20 000 000 
LOCAFINANCE (LOCAFINANCE), location de vehicules automobiles," 421, Boulevard Moulay Ismail",Casablanca,33.59822 : -7.58306,83089.0,Tribunal de Casablanca,1524951000010.0,Societe Anonyme,societe-locafinance-77713, 50 000 000 
