Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
BOULMAM CONSTRUCTION, travaux de construction et genie - civil., Hay Al Majd Lot 390 Rue 2 Ndeg25,Tanger-Medina (AR),35.74182053 : -5.798049901, 31301,Tribunal de Tanger, 001688681000075,Societe a Responsabilite Limitee a Associe Unique, 100 000
SOCIETE IMMOBILIERE KENZA LOT N27, acquisition de biens immeubles, 37 Av Hassan Seghir 2eme Etage N21,Casablanca,33.594755 : -7.610325, 94573,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000
HASSAN RABAT (STE ESE D'ETUDE TECHNIQUE) (EETH), tenant un bureau d'etudes (etudes techniques...), 10 Avenue Al Alaouiyne N3,Rabat,34.024701 : -6.825274, 45627,Tribunal de Rabat,,Societe a Responsabilite Limitee, 10 000
FOURACCESS," service informatique, importation accessoires feminines.", 103 Rue 11 Hakam 2 Hay Mohammadi,Casablanca,33.591606 : -7.585802, 137865,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 200 000
VOLTA SERVICES," entrepreneur d'electricite, chaudronier", Bd Cdt Driss Harti N386,Casablanca,33.54656 : -7.57563, 73777,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 12 000
SALAMA (ESE DE CONSTRUCTION), exploitation tous travaux de construction et routes, Souk Latnine Tamanouz,Taounate,34.536836 : -4.638198, 3481,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 30 000
SOCIETE DALIGAMO," travaux de nettoage general , entretien, gardiennage, entretien mecanique de toutes sortes de machines, engins et vehicules, maintenance industrielle, travaux de construction generale, genie civil, foncage et forage de puits, travaux de genie civil, batiments d'habitation et industriels representat"," N 29 Lot Phosphate, Hay Moulay Rachid, Laayoune",Laayoune,27.158503 : -13.207882, 3429,Tribunal de Laayoune,,Societe a Responsabilite Limitee, 100 000
ABOU-NOUAR, import export, 391 Lot Anfa,Mohammedia,33.702852 : -7.372212, 945,Tribunal de Mohammedia,,Societe Anonyme, 30 000
VIDA MODA, creation confection vente et achats prets a porter accessoires l'import-l'export etc..., Rue Chenier N20,Casablanca,33.58694440000001 : -7.6111111000000164, 45553,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
K.J DISTRIBUTION, negociant, Rue 68 Groupe Gh El Oulfa N59,Casablanca,33.5564236661 : -7.67990817114, 71117,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 50 000
KNITING ET TEXTILES (KNITEX)," tissage, bonneterie et confection", 60 Impasse Des Glaieuls,Casablanca,33.58694440000001 : -7.6111111000000164, 42013,Tribunal de Casablanca,,Societe Anonyme, 600 000
OKBA (STE CREMERIE PATISSERIE), patissier vendant en detail tenant un salon de the, Rue Okba N26,Rabat,33.938788 : -6.822504, 27529,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000
MEDIA PRESSE DIFFUSION," editeurs de journaux, entrepreneur de publicite", 38 Allee D'andromede,Casablanca,33.569414 : -7.624714, 77159,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 200 000
MAROC INDUSTRIE ISOLATION (MARISOL)," importation, achat, vente, fabrication de tous produits isolants, installation de tous objets et appareils de chauffage, toutes construction", 4 Rue Abbou Abbes Sebti,Casablanca,33.58542 : -7.6307, 31251,Tribunal de Casablanca,,Societe Anonyme, 250 000
DECAPRIO," la societe a pour objet : imprimerie, creation et communication, maroquinerie, article de publicite,", 104 Bld Yacoub Al Mansour,Casablanca,33.57549 : -7.64168, 162531,Tribunal de Casablanca, 000159469000070,Societe a Responsabilite Limitee a Associe Unique, 10 000
PATEX (STE) (PATEX)," achat, vente, confection au detail de tous articles textiles", 26 Rue Guynemer,Casablanca,33.59316 : -7.61502, 9879,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 12 000
Z SCHULMANN ET SES FILS (PALAIS DU MOBILIER), fabrication et vente de meubles, 18 Et 28 Boulevard De La Liberte,Casablanca,33.58694440000001 : -7.6111111000000164, 2943,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 80 000
AMK SERIGRAPHIE," travaux de serigraphe d'impression, import export", Villa Saada Route Cap Spartel R'milat,Tanger-Assilah,35.7666667 : -5.7999999999999545, 23143,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000
KATER MAGHREB TRADE, marchand effectuant import-export, Rue Bossuet N27,Casablanca,33.58639 : -7.61564, 54411,Tribunal de Casablanca,,Societe Anonyme, 100 000
HOME CREATIONS, fabricant de vetements confectionnes, Imm. Aheddar Abdelkrim,Agadir (M),30.427755 : -9.598107, 14001,Tribunal de Agadir, 001885155000013,Societe a Responsabilite Limitee, 100 000
HOTEL AYOUR, maitre d'hotel, N 10 Rue De L'entraide Nationale Talborjte,Agadir (M),30.421809 : -9.595857, 1287,Tribunal de Agadir, 001530928000039,Societe a Responsabilite Limitee, 400 000
ROFI, import negoce commercialisation distribution representation, 51 Hay El Wahda El Alia,Mohammedia,33.702852 : -7.372212, 2237,Tribunal de Mohammedia, 000015884000066,Societe a Responsabilite Limitee, 120 000
DENTAIRE DU NORD (DENOR), commercialisations produits dentaires, 31 Rue Du Mexique,Tanger-Assilah,35.77997 : -5.81408, 4931,Tribunal de Tanger,,Societe Anonyme, 100 000
TELEPICTURES OF MAROCCO INCORPORATED, production des heluction exploitation par le lyon de la television etc..., 44 Rue Du Mexique,Tanger-Assilah,35.77992 : -5.8144, 22449,Tribunal de Casablanca,,Societe Anonyme, 200 000
ANDALOUSE DE GENIE CIVIL ET DE CONSTRUCTION (STE), entrepreneur de travaux divers ou constructions, 28 Rue 80 Hay Errachad,Rabat,33.9849499873 : -6.81698519928, 42401,Tribunal de Rabat,,Societe Anonyme, 10 000
